# seed=20260723022 wall_start=2026-07-24 01:02:08
sim_t,x,y,yaw_deg
0.100,-0.000,-0.000,0.0
0.200,-0.000,-0.000,0.0
0.300,0.001,-0.001,-0.5
0.400,0.009,-0.008,-4.3
0.500,0.018,-0.016,-8.4
0.600,0.026,-0.025,-12.5
0.700,0.033,-0.037,-18.1
0.800,0.039,-0.047,-22.0
0.900,0.044,-0.057,-26.4
1.000,0.048,-0.069,-31.0
1.100,0.052,-0.080,-35.5
1.200,0.056,-0.090,-38.3
1.300,0.061,-0.099,-40.5
1.400,0.067,-0.107,-41.9
1.500,0.075,-0.118,-42.9
1.600,0.087,-0.130,-43.5
1.700,0.102,-0.145,-43.8
1.800,0.119,-0.161,-43.8
1.900,0.136,-0.177,-43.6
2.000,0.154,-0.194,-43.4
2.100,0.172,-0.210,-43.2
2.200,0.190,-0.227,-43.0
2.300,0.208,-0.243,-42.9
2.400,0.226,-0.259,-42.7
2.500,0.244,-0.275,-42.5
2.600,0.261,-0.291,-42.4
2.700,0.279,-0.307,-42.3
2.800,0.296,-0.322,-42.1
2.900,0.313,-0.337,-42.1
3.000,0.330,-0.353,-42.1
3.100,0.347,-0.368,-42.1
3.200,0.364,-0.383,-42.1
3.300,0.380,-0.398,-42.2
3.400,0.396,-0.413,-42.3
3.500,0.412,-0.428,-42.4
3.600,0.428,-0.442,-42.5
3.700,0.444,-0.457,-42.6
3.800,0.460,-0.472,-42.7
3.900,0.476,-0.487,-42.8
4.000,0.492,-0.502,-43.0
4.100,0.508,-0.518,-43.1
4.200,0.523,-0.533,-43.2
4.300,0.539,-0.548,-43.3
4.400,0.555,-0.563,-43.4
4.500,0.571,-0.578,-43.5
4.600,0.587,-0.593,-43.6
4.700,0.602,-0.608,-43.7
4.800,0.618,-0.624,-43.8
4.900,0.634,-0.639,-43.9
5.000,0.649,-0.654,-44.0
5.100,0.665,-0.670,-44.1
5.200,0.680,-0.685,-44.2
5.300,0.696,-0.700,-44.3
5.400,0.711,-0.716,-44.4
5.500,0.727,-0.731,-44.5
5.600,0.742,-0.747,-44.6
5.700,0.758,-0.762,-44.7
5.800,0.773,-0.778,-44.7
5.900,0.789,-0.793,-44.8
6.000,0.804,-0.809,-44.9
6.100,0.819,-0.824,-45.0
6.200,0.835,-0.840,-45.1
6.300,0.848,-0.854,-45.4
6.400,0.853,-0.863,-46.9
6.500,0.857,-0.872,-48.5
6.600,0.866,-0.885,-49.5
6.700,0.873,-0.896,-50.8
6.800,0.877,-0.906,-52.3
6.900,0.881,-0.915,-53.8
7.000,0.886,-0.926,-55.1
7.100,0.891,-0.938,-56.2
7.200,0.897,-0.950,-57.4
7.300,0.902,-0.962,-58.4
7.400,0.908,-0.975,-59.5
7.500,0.914,-0.990,-60.5
7.600,0.931,-1.012,-58.7
7.700,0.950,-1.034,-56.3
7.800,0.970,-1.056,-54.0
7.900,0.990,-1.076,-51.9
8.000,1.002,-1.092,-52.2
8.100,1.018,-1.110,-51.6
8.200,1.025,-1.123,-52.6
8.300,1.032,-1.135,-53.5
8.400,1.039,-1.148,-54.6
8.500,1.045,-1.160,-55.6
8.600,1.052,-1.173,-56.6
8.700,1.059,-1.186,-57.5
8.800,1.066,-1.200,-58.3
8.900,1.073,-1.215,-59.0
9.000,1.081,-1.231,-59.7
9.100,1.095,-1.252,-59.3
9.200,1.115,-1.278,-57.3
9.300,1.135,-1.302,-55.2
9.400,1.157,-1.325,-53.0
9.500,1.179,-1.347,-50.8
9.600,1.196,-1.365,-49.7
9.700,1.206,-1.378,-50.5
9.800,1.214,-1.391,-51.4
9.900,1.220,-1.402,-52.6
10.000,1.225,-1.412,-53.9
10.100,1.230,-1.423,-55.1
10.200,1.235,-1.434,-56.3
10.300,1.241,-1.446,-57.4
10.400,1.247,-1.459,-58.4
10.500,1.253,-1.473,-59.3
10.600,1.260,-1.488,-60.0
10.700,1.268,-1.503,-60.6
10.800,1.276,-1.520,-61.2
10.900,1.285,-1.538,-61.4
11.000,1.304,-1.565,-59.5
11.100,1.325,-1.591,-57.4
11.200,1.346,-1.616,-55.3
11.300,1.368,-1.641,-53.2
11.400,1.392,-1.665,-51.2
11.500,1.410,-1.684,-50.3
11.600,1.419,-1.698,-51.0
11.700,1.427,-1.710,-52.0
11.800,1.433,-1.721,-53.2
11.900,1.438,-1.732,-54.4
12.000,1.442,-1.742,-55.7
12.100,1.447,-1.753,-57.0
