mission,goal_x,goal_y,result,wall_s,epoch_start,epoch_end
adjacent-x,6.27,-3.56,ABORTED,38.8,1785342844.6,1785342883.7
adjacent-y,-3.73,7.34,SUCCEEDED,88.6,1785342886.7,1785342975.3
diagonal,6.12,6.69,SUCCEEDED,107.4,1785342978.3,1785343085.8
home,0.00,0.00,ABORTED,67.8,1785343088.8,1785343156.6
