# seed=20260723022 wall_start=2026-07-30 16:41:56 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
0.067,-0.000,-0.000,0.0,-4.126,-8.370,5.263,-3.031,8.323,6.142
0.167,-0.000,-0.000,0.0,-4.039,-8.370,5.188,-3.073,8.250,6.105
0.267,-0.000,-0.000,0.0,-3.952,-8.370,5.113,-3.116,8.176,6.069
0.367,-0.000,-0.000,0.0,-3.865,-8.370,5.038,-3.158,8.103,6.033
0.467,-0.000,-0.000,0.0,-3.778,-8.370,4.963,-3.200,8.029,5.996
0.567,-0.000,-0.000,0.0,-3.691,-8.370,4.888,-3.242,7.956,5.960
0.667,-0.000,-0.000,0.0,-3.604,-8.370,4.813,-3.285,7.882,5.923
0.767,-0.000,-0.000,0.0,-3.517,-8.370,4.738,-3.327,7.809,5.887
0.867,-0.000,-0.000,0.0,-3.430,-8.370,4.663,-3.369,7.735,5.851
0.967,-0.000,-0.000,0.0,-3.343,-8.370,4.588,-3.411,7.662,5.814
1.067,-0.000,-0.000,0.0,-3.256,-8.370,4.513,-3.453,7.588,5.778
1.167,-0.000,-0.000,0.0,-3.169,-8.370,4.438,-3.496,7.515,5.741
1.267,-0.000,-0.000,0.0,-3.082,-8.370,4.364,-3.538,7.442,5.705
1.367,-0.000,-0.000,0.0,-2.995,-8.370,4.289,-3.580,7.368,5.669
1.467,-0.000,-0.000,0.0,-2.908,-8.370,4.214,-3.622,7.295,5.632
1.567,-0.000,-0.000,0.0,-2.821,-8.370,4.139,-3.665,7.221,5.596
1.667,-0.000,-0.000,0.0,-2.734,-8.370,4.064,-3.707,7.148,5.559
1.767,-0.000,-0.000,0.0,-2.647,-8.370,3.989,-3.749,7.074,5.523
1.867,-0.000,-0.000,0.0,-2.560,-8.370,3.914,-3.791,7.001,5.487
1.967,-0.000,-0.000,0.0,-2.473,-8.370,3.839,-3.834,6.927,5.450
2.067,-0.000,-0.000,0.0,-2.386,-8.370,3.764,-3.876,6.854,5.414
2.167,-0.000,-0.000,0.0,-2.299,-8.370,3.689,-3.918,6.780,5.377
2.267,-0.000,-0.000,0.0,-2.212,-8.370,3.614,-3.960,6.707,5.341
2.367,-0.000,-0.000,0.0,-2.125,-8.370,3.539,-4.002,6.633,5.305
2.467,-0.000,-0.000,0.0,-2.038,-8.370,3.465,-4.045,6.560,5.268
