# seed=20260723022 wall_start=2026-07-23 17:38:06
sim_t,x,y,yaw_deg
0.067,-0.000,-0.000,0.0
0.167,-0.000,-0.000,0.0
0.267,0.001,-0.001,-0.4
0.367,0.010,-0.007,-4.0
0.467,0.019,-0.016,-8.1
0.567,0.027,-0.025,-12.6
0.667,0.033,-0.038,-18.6
0.767,0.038,-0.051,-24.4
0.867,0.043,-0.062,-28.8
0.967,0.047,-0.075,-34.0
1.067,0.048,-0.089,-40.3
1.167,0.050,-0.100,-43.7
1.267,0.055,-0.109,-45.6
1.367,0.063,-0.121,-46.8
1.467,0.076,-0.136,-47.1
1.567,0.093,-0.153,-46.8
1.667,0.112,-0.171,-46.4
1.767,0.131,-0.190,-45.8
1.867,0.151,-0.209,-45.1
1.967,0.172,-0.227,-44.4
2.067,0.192,-0.245,-43.8
2.167,0.212,-0.263,-43.4
2.267,0.231,-0.280,-42.9
2.367,0.251,-0.297,-42.5
2.467,0.270,-0.314,-42.1
2.567,0.288,-0.330,-41.9
2.667,0.305,-0.345,-41.8
2.767,0.322,-0.360,-41.8
2.867,0.339,-0.376,-41.8
2.967,0.356,-0.390,-41.8
3.067,0.372,-0.405,-41.9
3.167,0.388,-0.420,-42.0
3.267,0.404,-0.435,-42.1
3.367,0.421,-0.450,-42.2
3.467,0.437,-0.464,-42.3
3.567,0.453,-0.479,-42.5
3.667,0.469,-0.494,-42.6
3.767,0.485,-0.509,-42.7
3.867,0.501,-0.524,-42.8
3.967,0.516,-0.539,-42.9
4.067,0.532,-0.554,-43.0
4.167,0.548,-0.569,-43.1
4.267,0.564,-0.584,-43.2
4.367,0.580,-0.599,-43.3
4.467,0.596,-0.615,-43.4
4.567,0.611,-0.630,-43.5
4.667,0.627,-0.645,-43.6
4.767,0.643,-0.660,-43.7
4.867,0.659,-0.675,-43.8
4.967,0.674,-0.691,-43.9
5.067,0.690,-0.706,-43.9
5.167,0.705,-0.721,-44.0
5.267,0.721,-0.737,-44.1
5.367,0.737,-0.752,-44.2
5.467,0.752,-0.767,-44.3
5.567,0.768,-0.783,-44.4
5.667,0.783,-0.798,-44.5
5.767,0.796,-0.812,-45.1
5.867,0.807,-0.825,-46.0
5.967,0.817,-0.839,-47.0
6.067,0.827,-0.852,-47.9
6.167,0.832,-0.862,-49.4
6.267,0.838,-0.873,-50.8
6.367,0.844,-0.884,-52.0
6.467,0.849,-0.895,-53.4
6.567,0.855,-0.906,-54.6
6.667,0.861,-0.918,-55.7
6.767,0.867,-0.931,-56.7
6.867,0.874,-0.945,-57.6
6.967,0.885,-0.963,-58.2
7.067,0.893,-0.978,-58.8
7.167,0.908,-1.000,-57.8
7.267,0.922,-1.019,-57.0
7.367,0.935,-1.037,-56.3
7.467,0.955,-1.058,-53.9
7.567,0.976,-1.079,-51.6
7.667,0.996,-1.098,-49.7
7.767,1.012,-1.116,-49.7
7.867,1.029,-1.136,-49.5
7.967,1.041,-1.151,-49.8
8.067,1.053,-1.167,-50.6
8.167,1.059,-1.178,-51.8
8.267,1.064,-1.189,-53.1
8.367,1.069,-1.199,-54.4
8.467,1.074,-1.210,-55.6
8.567,1.080,-1.222,-56.7
8.667,1.086,-1.235,-57.8
8.767,1.093,-1.249,-58.6
8.867,1.101,-1.266,-59.3
8.967,1.115,-1.287,-58.7
9.067,1.126,-1.305,-59.0
9.167,1.139,-1.327,-58.6
9.267,1.160,-1.351,-56.5
9.367,1.181,-1.375,-54.5
9.467,1.203,-1.399,-52.4
9.567,1.225,-1.422,-50.3
9.667,1.243,-1.440,-49.5
9.767,1.252,-1.453,-50.3
9.867,1.260,-1.465,-51.2
9.967,1.267,-1.477,-52.3
10.067,1.272,-1.487,-53.6
10.167,1.276,-1.497,-54.9
10.267,1.281,-1.508,-56.1
10.367,1.287,-1.520,-57.2
10.467,1.292,-1.533,-58.2
10.567,1.299,-1.546,-59.2
10.667,1.305,-1.560,-60.0
10.767,1.312,-1.575,-60.7
10.867,1.321,-1.593,-61.3
10.967,1.340,-1.622,-59.7
11.067,1.361,-1.650,-57.8
11.167,1.383,-1.677,-55.9
11.267,1.405,-1.703,-54.1
11.367,1.426,-1.726,-52.5
11.467,1.434,-1.738,-53.2
11.567,1.440,-1.750,-54.3
11.667,1.445,-1.761,-55.5
11.767,1.451,-1.773,-56.6
11.867,1.457,-1.786,-57.5
11.967,1.464,-1.799,-58.4
12.067,1.471,-1.813,-59.2
12.167,1.478,-1.828,-59.9
12.267,1.485,-1.843,-60.6
12.367,1.492,-1.859,-61.3
12.467,1.500,-1.875,-61.8
12.567,1.508,-1.891,-62.3
12.667,1.516,-1.909,-62.7
12.767,1.524,-1.926,-63.0
12.867,1.533,-1.944,-63.4
12.967,1.541,-1.962,-63.6
13.067,1.550,-1.980,-63.9
13.167,1.558,-1.999,-64.1
13.267,1.567,-2.018,-64.3
13.367,1.576,-2.037,-64.4
13.467,1.585,-2.056,-64.6
13.567,1.594,-2.076,-64.7
13.667,1.603,-2.096,-64.8
13.767,1.612,-2.116,-64.8
13.867,1.622,-2.135,-64.9
13.967,1.631,-2.155,-64.9
14.067,1.640,-2.175,-65.0
14.167,1.649,-2.195,-65.1
14.267,1.658,-2.215,-65.1
14.367,1.667,-2.235,-65.2
14.467,1.678,-2.258,-64.9
14.567,1.690,-2.281,-64.7
14.667,1.702,-2.305,-64.5
14.767,1.712,-2.326,-64.4
14.867,1.721,-2.345,-64.4
14.967,1.730,-2.363,-64.3
15.067,1.738,-2.380,-64.2
15.167,1.744,-2.393,-64.4
15.267,1.750,-2.405,-64.5
15.367,1.755,-2.417,-64.5
15.467,1.761,-2.428,-64.4
15.567,1.765,-2.437,-64.5
15.667,1.768,-2.445,-64.6
15.767,1.772,-2.452,-64.7
15.867,1.775,-2.459,-64.8
15.967,1.777,-2.465,-64.9
16.067,1.780,-2.470,-65.0
16.167,1.782,-2.476,-65.1
16.267,1.784,-2.481,-65.2
16.367,1.786,-2.486,-65.3
16.467,1.788,-2.490,-65.4
16.567,1.790,-2.495,-65.4
16.667,1.792,-2.499,-65.5
16.767,1.793,-2.502,-65.5
16.867,1.795,-2.506,-65.6
16.967,1.797,-2.510,-65.6
17.067,1.798,-2.513,-65.6
17.167,1.799,-2.516,-65.9
17.267,1.793,-2.519,-69.4
17.367,1.786,-2.521,-73.9
17.467,1.778,-2.523,-78.5
17.567,1.770,-2.525,-83.0
17.667,1.769,-2.532,-84.4
17.767,1.762,-2.551,-88.6
17.867,1.749,-2.583,-95.3
17.967,1.734,-2.617,-100.8
18.067,1.717,-2.651,-105.9
18.167,1.697,-2.685,-110.5
18.267,1.681,-2.714,-112.7
18.367,1.669,-2.738,-113.6
18.467,1.659,-2.759,-113.8
18.567,1.652,-2.778,-113.3
18.667,1.646,-2.798,-112.1
18.767,1.638,-2.817,-112.3
18.867,1.630,-2.837,-112.4
18.967,1.621,-2.856,-112.5
19.067,1.613,-2.875,-112.8
19.167,1.605,-2.893,-113.0
19.267,1.596,-2.912,-113.3
19.367,1.588,-2.930,-113.5
19.467,1.580,-2.947,-113.9
19.567,1.571,-2.964,-114.4
19.667,1.563,-2.981,-114.7
19.767,1.554,-3.000,-114.9
19.867,1.545,-3.018,-115.1
19.967,1.536,-3.037,-115.3
20.067,1.526,-3.056,-115.4
20.167,1.517,-3.076,-115.4
20.267,1.507,-3.095,-115.6
20.367,1.498,-3.113,-115.9
20.467,1.489,-3.130,-116.2
20.567,1.480,-3.148,-116.5
20.667,1.470,-3.166,-116.8
20.767,1.460,-3.185,-116.9
20.867,1.450,-3.205,-116.9
20.967,1.440,-3.224,-117.1
21.067,1.426,-3.249,-117.6
21.167,1.407,-3.282,-118.3
21.267,1.388,-3.314,-119.1
21.367,1.368,-3.346,-119.9
21.467,1.355,-3.367,-120.0
21.567,1.341,-3.391,-120.2
21.667,1.330,-3.410,-120.3
21.767,1.319,-3.430,-120.3
21.867,1.307,-3.450,-120.2
21.967,1.295,-3.470,-120.1
22.067,1.284,-3.491,-120.0
22.167,1.272,-3.511,-119.9
22.267,1.261,-3.531,-119.8
22.367,1.250,-3.551,-119.7
22.467,1.239,-3.571,-119.7
22.567,1.227,-3.590,-119.7
22.667,1.216,-3.610,-119.7
22.767,1.205,-3.629,-119.7
22.867,1.194,-3.649,-119.7
22.967,1.183,-3.668,-119.7
23.067,1.172,-3.688,-119.7
23.167,1.161,-3.707,-119.7
23.267,1.150,-3.726,-119.7
23.367,1.139,-3.745,-119.7
23.467,1.128,-3.764,-119.8
23.567,1.117,-3.783,-119.9
23.667,1.106,-3.801,-120.0
23.767,1.095,-3.820,-120.1
23.867,1.084,-3.839,-120.2
23.967,1.073,-3.857,-120.3
24.067,1.062,-3.876,-120.4
24.167,1.051,-3.894,-120.5
24.267,1.040,-3.913,-120.5
24.367,1.029,-3.931,-120.6
24.467,1.018,-3.950,-120.7
24.567,1.007,-3.968,-120.8
24.667,0.995,-3.987,-120.9
24.767,0.984,-4.005,-121.0
24.867,0.973,-4.024,-121.0
24.967,0.961,-4.043,-121.0
25.067,0.950,-4.062,-121.0
25.167,0.939,-4.081,-121.0
25.267,0.927,-4.100,-121.0
25.367,0.916,-4.119,-121.0
25.467,0.904,-4.137,-121.1
25.567,0.893,-4.155,-121.2
25.667,0.882,-4.174,-121.3
25.767,0.871,-4.192,-121.4
25.867,0.859,-4.210,-121.5
25.967,0.848,-4.228,-121.6
26.067,0.837,-4.246,-121.7
26.167,0.825,-4.264,-121.7
26.267,0.814,-4.282,-121.8
26.367,0.803,-4.300,-121.9
26.467,0.791,-4.318,-122.0
26.567,0.780,-4.336,-122.1
