mission,goal_x,goal_y,attempt,result,wall_s,epoch_start,epoch_end
adjacent-x,-6.22,-3.50,1,ABORTED,38.0,1785499169.0,1785499207.3
adjacent-x,-6.22,-3.50,2,ABORTED,37.0,1785499227.3,1785499264.3
adjacent-y,3.78,7.10,1,ABORTED,39.0,1785499267.3,1785499306.3
adjacent-y,3.78,7.10,2,ABORTED,8.4,1785499326.3,1785499334.7
diagonal,-5.77,6.32,1,ABORTED,1.9,1785499337.7,1785499339.5
diagonal,-5.77,6.32,2,ABORTED,13.0,1785499359.5,1785499372.6
home,0.00,0.00,1,SUCCEEDED,17.5,1785499375.6,1785499393.1
