mission,goal_x,goal_y,attempt,result,wall_s,epoch_start,epoch_end
adjacent-x,-7.94,4.33,1,SUCCEEDED,225.1,1785489434.7,1785489660.0
adjacent-y,2.96,-7.23,1,ABORTED,164.6,1785489663.0,1785489827.6
adjacent-y,2.96,-7.23,2,ABORTED,5.0,1785489847.6,1785489852.5
diagonal,-7.04,-7.23,1,ABORTED,0.1,1785489855.5,1785489855.6
diagonal,-7.04,-7.23,2,TIMEOUT,240.0,1785489875.6,1785490115.6
home,0.00,0.00,1,ABORTED,68.5,1785490118.6,1785490187.1
home,0.00,0.00,2,ABORTED,65.0,1785490207.1,1785490272.1
