mission,goal_x,goal_y,attempt,result,wall_s,epoch_start,epoch_end
adjacent-x,7.05,3.58,1,REJECTED,0.0,1785351896.4,1785351896.4
adjacent-x,7.05,3.58,2,REJECTED,0.0,1785351915.4,1785351915.4
adjacent-y,-2.65,-6.42,1,REJECTED,0.0,1785351918.4,1785351918.4
adjacent-y,-2.65,-6.42,2,REJECTED,0.0,1785351938.4,1785351938.4
diagonal,7.35,-6.12,1,REJECTED,0.0,1785351941.4,1785351941.4
diagonal,7.35,-6.12,2,REJECTED,0.0,1785351960.3,1785351960.3
home,0.00,0.00,1,REJECTED,0.0,1785351963.3,1785351963.3
home,0.00,0.00,2,REJECTED,0.0,1785351982.3,1785351982.3
