mission,goal_x,goal_y,attempt,result,wall_s,epoch_start,epoch_end
adjacent-x,-6.13,2.81,1,SUCCEEDED,5.3,1785431649.3,1785431654.6
adjacent-y,2.67,-6.67,1,SUCCEEDED,217.0,1785431657.6,1785431874.6
diagonal,-7.03,-7.19,1,ABORTED,74.4,1785431877.6,1785431952.0
diagonal,-7.03,-7.19,2,ABORTED,73.9,1785431969.9,1785432043.8
home,0.00,0.00,1,ABORTED,73.8,1785432046.9,1785432120.7
home,0.00,0.00,2,ABORTED,77.8,1785432138.7,1785432216.5
