mission,goal_x,goal_y,result,wall_s,epoch_start,epoch_end
adjacent-x,7.24,-2.65,ABORTED,16.2,1785327168.5,1785327187.2
adjacent-y,-2.76,7.36,SUCCEEDED,73.2,1785327190.2,1785327263.3
diagonal,7.24,7.36,ABORTED,25.9,1785327265.2,1785327291.1
home,0.00,0.00,ABORTED,53.6,1785327294.2,1785327347.8
