# seed=983120 wall_start=2026-07-22 13:48:22
sim_t,x,y,yaw_deg
0.100,-0.000,-0.000,0.0
0.200,-0.000,-0.000,0.0
0.300,0.024,-0.001,-0.4
0.400,0.060,-0.001,-0.4
0.500,0.096,-0.001,-0.3
0.600,0.133,-0.001,-0.3
0.700,0.169,-0.002,-0.4
0.800,0.205,-0.002,-0.5
0.900,0.242,-0.003,-0.5
1.000,0.278,-0.003,-0.6
1.100,0.314,-0.003,-0.6
1.200,0.350,-0.004,-0.7
1.300,0.387,-0.004,-0.7
1.400,0.423,-0.005,-0.7
1.500,0.459,-0.005,-0.6
1.600,0.494,-0.005,-0.6
1.700,0.530,-0.006,-0.5
1.800,0.566,-0.006,-0.5
1.900,0.602,-0.006,-0.5
2.000,0.638,-0.007,-0.5
2.100,0.674,-0.007,-0.4
2.200,0.710,-0.007,-0.4
2.300,0.746,-0.007,-0.4
2.400,0.782,-0.007,-0.3
2.500,0.817,-0.007,-0.3
2.600,0.853,-0.007,-0.2
2.700,0.889,-0.007,-0.2
2.800,0.926,-0.008,-0.3
2.900,0.962,-0.008,-0.4
3.000,0.998,-0.009,-0.5
3.100,1.034,-0.009,-0.5
3.200,1.070,-0.009,-0.5
3.300,1.106,-0.010,-0.5
3.400,1.142,-0.010,-0.4
3.500,1.178,-0.010,-0.4
3.600,1.213,-0.010,-0.4
3.700,1.249,-0.011,-0.4
3.800,1.285,-0.011,-0.4
3.900,1.321,-0.011,-0.4
4.000,1.356,-0.011,-0.4
4.100,1.392,-0.011,-0.4
4.200,1.428,-0.012,-0.4
4.300,1.464,-0.012,-0.3
4.400,1.499,-0.012,-0.3
4.500,1.535,-0.012,-0.1
4.600,1.570,-0.011,0.1
4.700,1.606,-0.011,0.2
4.800,1.641,-0.011,0.3
4.900,1.677,-0.010,0.3
5.000,1.713,-0.010,0.4
5.100,1.749,-0.010,0.5
5.200,1.785,-0.009,0.6
5.300,1.820,-0.009,0.7
5.400,1.857,-0.008,0.7
5.500,1.893,-0.008,0.7
5.600,1.929,-0.007,0.7
5.700,1.965,-0.007,0.7
5.800,2.001,-0.006,0.7
5.900,2.037,-0.006,0.8
6.000,2.073,-0.005,0.8
6.100,2.110,-0.005,0.8
6.200,2.146,-0.004,0.9
6.300,2.182,-0.003,0.9
6.400,2.218,-0.003,0.8
6.500,2.255,-0.003,0.7
6.600,2.291,-0.002,0.7
6.700,2.328,-0.002,0.6
6.800,2.364,-0.002,0.5
6.900,2.400,-0.001,0.5
7.000,2.436,-0.001,0.5
7.100,2.472,-0.001,0.6
7.200,2.508,-0.000,0.6
7.300,2.544,0.000,0.6
7.400,2.580,0.000,0.6
7.500,2.616,0.001,0.6
7.600,2.652,0.001,0.6
7.700,2.688,0.001,0.6
7.800,2.724,0.002,0.7
7.900,2.760,0.003,0.8
8.000,2.796,0.003,0.8
8.100,2.831,0.004,0.8
8.200,2.867,0.004,0.8
8.300,2.903,0.005,0.8
8.400,2.939,0.005,0.8
8.500,2.975,0.006,0.8
8.600,3.011,0.006,0.8
8.700,3.047,0.007,0.8
8.800,3.083,0.007,0.9
8.900,3.118,0.008,0.9
9.000,3.154,0.009,0.9
9.100,3.190,0.009,0.9
9.200,3.226,0.010,1.0
9.300,3.261,0.011,1.0
9.400,3.297,0.011,1.0
9.500,3.333,0.012,1.0
9.600,3.369,0.012,1.0
9.700,3.405,0.013,1.1
9.800,3.440,0.014,1.1
9.900,3.476,0.015,1.1
10.000,3.512,0.016,1.2
10.100,3.547,0.016,1.2
10.200,3.583,0.017,1.2
10.300,3.619,0.018,1.2
10.400,3.655,0.019,1.2
10.500,3.690,0.019,1.2
10.600,3.726,0.020,1.3
10.700,3.762,0.021,1.4
10.800,3.797,0.022,1.4
10.900,3.833,0.023,1.4
11.000,3.869,0.024,1.4
11.100,3.904,0.025,1.4
11.200,3.940,0.026,1.5
11.300,3.976,0.027,1.5
11.400,4.011,0.028,1.5
11.500,4.047,0.029,1.5
11.600,4.083,0.030,1.5
11.700,4.118,0.031,1.5
11.800,4.154,0.032,1.6
11.900,4.189,0.033,1.6
12.000,4.225,0.034,1.6
12.100,4.261,0.035,1.8
12.200,4.298,0.038,2.5
12.300,4.335,0.041,3.1
12.400,4.372,0.044,3.8
12.500,4.409,0.048,4.5
12.600,4.445,0.052,5.2
12.700,4.481,0.057,5.7
12.800,4.516,0.061,6.2
12.900,4.551,0.066,6.6
