mission,goal_x,goal_y,attempt,result,wall_s,epoch_start,epoch_end
adjacent-x,-7.82,-2.69,1,SUCCEEDED,81.0,1785496006.1,1785496087.4
adjacent-y,3.08,7.31,1,TIMEOUT,240.0,1785496090.4,1785496330.4
adjacent-y,3.08,7.31,2,TIMEOUT,240.0,1785496350.4,1785496590.4
diagonal,-7.22,7.31,1,TIMEOUT,240.0,1785496593.4,1785496833.5
diagonal,-7.22,7.31,2,TIMEOUT,240.0,1785496853.5,1785497093.5
home,0.00,0.00,1,ABORTED,13.0,1785497096.5,1785497109.5
home,0.00,0.00,2,ABORTED,2.1,1785497129.5,1785497131.5
