# seed=20260723019 wall_start=2026-07-26 20:18:12 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
0.100,-0.000,-0.000,0.0,-4.291,1.625,-8.379,8.367,-2.702,-1.586
0.200,-0.000,-0.000,0.0,-4.197,1.607,-8.329,8.314,-2.609,-1.605
0.300,0.023,-0.001,-0.4,-4.103,1.589,-8.279,8.262,-2.516,-1.624
0.400,0.057,-0.001,-0.4,-4.008,1.571,-8.230,8.210,-2.423,-1.643
0.500,0.092,-0.001,-0.5,-3.914,1.554,-8.180,8.158,-2.330,-1.662
0.600,0.123,-0.003,-1.1,-3.820,1.536,-8.131,8.106,-2.237,-1.682
0.700,0.157,-0.003,-1.0,-3.725,1.518,-8.081,8.053,-2.144,-1.701
0.800,0.191,-0.004,-0.8,-3.631,1.500,-8.031,8.001,-2.051,-1.720
0.900,0.225,-0.004,-0.6,-3.537,1.482,-7.982,7.949,-1.958,-1.739
1.000,0.258,-0.003,-0.3,-3.443,1.464,-7.932,7.897,-1.865,-1.758
1.100,0.291,-0.003,0.0,-3.348,1.446,-7.883,7.845,-1.772,-1.777
1.200,0.324,-0.002,0.4,-3.254,1.428,-7.833,7.792,-1.679,-1.796
1.300,0.358,-0.002,0.3,-3.160,1.410,-7.783,7.740,-1.586,-1.816
1.400,0.392,-0.002,0.3,-3.065,1.393,-7.734,7.688,-1.493,-1.835
1.500,0.426,-0.001,0.7,-2.971,1.375,-7.684,7.636,-1.400,-1.854
1.600,0.461,0.004,2.8,-2.877,1.357,-7.635,7.584,-1.307,-1.873
1.700,0.495,0.011,5.2,-2.782,1.339,-7.585,7.531,-1.214,-1.892
1.800,0.529,0.019,7.5,-2.688,1.321,-7.535,7.479,-1.121,-1.911
1.900,0.563,0.025,8.3,-2.594,1.303,-7.486,7.427,-1.028,-1.930
2.000,0.599,0.029,8.0,-2.499,1.285,-7.436,7.375,-0.934,-1.950
2.100,0.637,0.033,7.1,-2.405,1.267,-7.387,7.323,-0.841,-1.969
2.200,0.674,0.035,6.0,-2.311,1.249,-7.337,7.271,-0.748,-1.988
2.300,0.711,0.037,4.9,-2.216,1.232,-7.287,7.218,-0.655,-2.007
2.400,0.748,0.037,3.7,-2.122,1.214,-7.238,7.166,-0.562,-2.026
2.500,0.786,0.037,2.6,-2.028,1.196,-7.188,7.114,-0.469,-2.045
2.600,0.824,0.037,1.7,-1.933,1.178,-7.139,7.062,-0.376,-2.064
2.700,0.862,0.036,0.9,-1.839,1.160,-7.089,7.010,-0.283,-2.084
2.800,0.899,0.035,0.1,-1.745,1.142,-7.039,6.957,-0.190,-2.103
2.900,0.935,0.034,-0.4,-1.650,1.124,-6.990,6.905,-0.097,-2.122
3.000,0.970,0.033,-0.9,-1.556,1.106,-6.940,6.853,-0.004,-2.141
3.100,1.004,0.032,-1.3,-1.462,1.088,-6.891,6.801,0.089,-2.160
3.200,1.037,0.030,-1.6,-1.368,1.071,-6.841,6.749,0.182,-2.179
3.300,1.070,0.029,-1.9,-1.273,1.053,-6.791,6.696,0.275,-2.198
3.400,1.103,0.027,-2.1,-1.179,1.035,-6.742,6.644,0.368,-2.217
3.500,1.134,0.025,-2.5,-1.085,1.017,-6.692,6.592,0.461,-2.237
3.600,1.165,0.024,-2.6,-0.990,0.999,-6.643,6.540,0.554,-2.256
3.700,1.196,0.021,-3.1,-0.896,0.981,-6.593,6.488,0.647,-2.275
