# seed=20260723023 wall_start=2026-07-24 01:05:48
sim_t,x,y,yaw_deg
0.067,-0.000,-0.000,0.0
0.167,-0.000,-0.000,0.0
0.267,-0.000,-0.000,0.0
0.367,0.022,-0.000,-0.0
0.467,0.053,0.001,0.6
0.567,0.085,0.003,1.3
0.667,0.116,0.005,2.0
0.767,0.147,0.008,2.7
0.867,0.178,0.010,3.3
0.967,0.208,0.013,3.8
1.067,0.237,0.016,4.2
1.167,0.266,0.019,4.6
1.267,0.294,0.021,4.8
1.367,0.321,0.024,5.0
1.467,0.348,0.027,5.1
1.567,0.374,0.029,5.2
1.667,0.400,0.032,5.2
1.767,0.425,0.034,5.2
1.867,0.451,0.036,5.2
1.967,0.476,0.038,5.2
2.067,0.501,0.041,5.1
2.167,0.525,0.042,5.0
2.267,0.550,0.044,4.8
2.367,0.574,0.046,4.7
2.467,0.599,0.048,4.6
2.567,0.624,0.050,4.5
2.667,0.648,0.051,4.4
2.767,0.673,0.053,4.2
2.867,0.697,0.055,4.1
2.967,0.722,0.056,4.0
3.067,0.747,0.058,3.9
3.167,0.771,0.059,3.7
3.267,0.794,0.060,3.4
3.367,0.818,0.061,3.2
3.467,0.842,0.062,3.0
3.567,0.865,0.063,2.8
3.667,0.889,0.063,2.6
3.767,0.913,0.064,2.3
3.867,0.937,0.064,2.1
3.967,0.961,0.065,2.0
4.067,0.986,0.066,1.9
4.167,1.011,0.066,1.8
4.267,1.036,0.067,1.7
4.367,1.061,0.067,1.6
4.467,1.085,0.068,1.4
4.567,1.110,0.068,1.3
4.667,1.134,0.068,1.1
4.767,1.157,0.068,0.9
4.867,1.181,0.068,0.6
4.967,1.205,0.068,0.4
5.067,1.229,0.068,0.2
5.167,1.253,0.067,0.0
5.267,1.277,0.067,-0.2
5.367,1.301,0.066,-0.4
5.467,1.325,0.066,-0.6
5.567,1.349,0.065,-0.8
5.667,1.373,0.065,-1.0
5.767,1.397,0.064,-1.2
5.867,1.421,0.063,-1.4
5.967,1.445,0.062,-1.6
6.067,1.469,0.061,-1.8
6.167,1.493,0.060,-2.0
6.267,1.517,0.058,-2.2
6.367,1.541,0.057,-2.4
6.467,1.565,0.056,-2.6
6.567,1.590,0.054,-2.8
6.667,1.614,0.053,-3.0
6.767,1.638,0.051,-3.2
6.867,1.662,0.049,-3.4
6.967,1.686,0.047,-3.5
7.067,1.710,0.045,-3.7
7.167,1.735,0.044,-3.9
7.267,1.759,0.042,-4.1
7.367,1.782,0.039,-4.4
7.467,1.805,0.037,-4.7
7.567,1.827,0.034,-5.1
7.667,1.849,0.031,-5.5
7.767,1.871,0.029,-5.9
7.867,1.893,0.025,-6.3
7.967,1.916,0.022,-6.6
8.067,1.940,0.019,-6.9
8.167,1.963,0.016,-7.2
8.267,1.987,0.012,-7.4
8.367,2.011,0.009,-7.6
8.467,2.037,0.005,-7.7
8.567,2.062,0.001,-7.8
8.667,2.089,-0.002,-7.9
8.767,2.115,-0.006,-7.9
8.867,2.142,-0.010,-8.0
8.967,2.168,-0.014,-8.0
9.067,2.195,-0.018,-8.0
9.167,2.221,-0.021,-8.1
9.267,2.247,-0.025,-8.2
9.367,2.261,-0.029,-9.0
9.467,2.272,-0.032,-9.9
9.567,2.283,-0.036,-10.9
9.667,2.294,-0.040,-12.0
9.767,2.305,-0.045,-13.0
9.867,2.316,-0.049,-14.0
9.967,2.328,-0.054,-14.8
10.067,2.341,-0.059,-15.6
10.167,2.355,-0.064,-16.2
10.267,2.370,-0.069,-16.8
10.367,2.385,-0.075,-17.3
10.467,2.401,-0.081,-17.8
10.567,2.417,-0.087,-18.1
10.667,2.434,-0.093,-18.5
10.767,2.451,-0.099,-18.8
10.867,2.468,-0.105,-19.0
10.967,2.485,-0.112,-19.3
11.067,2.494,-0.120,-21.7
11.167,2.508,-0.129,-23.5
11.267,2.520,-0.137,-24.8
11.367,2.525,-0.147,-28.7
11.467,2.530,-0.158,-32.6
11.567,2.534,-0.168,-36.2
11.667,2.538,-0.179,-39.6
11.767,2.541,-0.189,-42.5
11.867,2.545,-0.198,-45.1
11.967,2.548,-0.207,-47.2
12.067,2.552,-0.216,-49.0
12.167,2.555,-0.225,-50.6
12.267,2.559,-0.233,-51.9
12.367,2.564,-0.242,-53.0
12.467,2.569,-0.252,-54.0
12.567,2.575,-0.263,-54.9
12.667,2.582,-0.276,-55.6
12.767,2.590,-0.289,-56.2
12.867,2.598,-0.303,-56.6
12.967,2.607,-0.318,-56.9
13.067,2.616,-0.333,-57.2
13.167,2.626,-0.349,-57.4
13.267,2.636,-0.364,-57.6
13.367,2.646,-0.381,-57.7
13.467,2.656,-0.397,-57.8
13.567,2.666,-0.413,-57.9
13.667,2.676,-0.430,-58.0
13.767,2.686,-0.446,-58.0
13.867,2.696,-0.463,-58.1
13.967,2.706,-0.479,-58.2
14.067,2.716,-0.496,-58.3
14.167,2.726,-0.512,-58.4
14.267,2.736,-0.529,-58.5
14.367,2.746,-0.546,-58.6
14.467,2.756,-0.562,-58.7
14.567,2.767,-0.579,-58.6
14.667,2.777,-0.596,-58.6
14.767,2.790,-0.617,-58.3
14.867,2.806,-0.641,-57.9
14.967,2.823,-0.665,-57.4
15.067,2.836,-0.685,-57.3
15.167,2.851,-0.707,-57.0
15.267,2.867,-0.731,-56.6
15.367,2.883,-0.753,-56.3
15.467,2.898,-0.776,-56.0
15.567,2.914,-0.798,-55.8
15.667,2.929,-0.820,-55.6
15.767,2.944,-0.841,-55.4
15.867,2.959,-0.863,-55.3
15.967,2.974,-0.884,-55.2
16.067,2.989,-0.905,-55.1
16.167,3.003,-0.925,-55.1
16.267,3.017,-0.945,-55.1
16.367,3.032,-0.966,-55.1
16.467,3.046,-0.986,-55.1
16.567,3.059,-1.006,-55.2
16.667,3.073,-1.026,-55.3
16.767,3.086,-1.045,-55.4
16.867,3.099,-1.065,-55.5
16.967,3.113,-1.085,-55.6
17.067,3.126,-1.104,-55.7
17.167,3.139,-1.124,-55.8
17.267,3.152,-1.143,-55.9
17.367,3.165,-1.163,-56.0
17.467,3.178,-1.183,-56.2
17.567,3.191,-1.202,-56.3
17.667,3.201,-1.218,-56.6
17.767,3.209,-1.232,-57.0
17.867,3.216,-1.245,-57.5
17.967,3.224,-1.258,-57.9
18.067,3.231,-1.272,-58.4
18.167,3.238,-1.285,-58.9
18.267,3.246,-1.299,-59.3
18.367,3.254,-1.314,-59.6
18.467,3.262,-1.329,-60.1
18.567,3.271,-1.347,-60.2
18.667,3.280,-1.363,-60.6
18.767,3.289,-1.379,-60.7
18.867,3.297,-1.395,-60.9
18.967,3.306,-1.411,-61.1
19.067,3.315,-1.428,-61.3
19.167,3.324,-1.445,-61.4
19.267,3.332,-1.461,-61.5
19.367,3.341,-1.478,-61.6
19.467,3.350,-1.494,-61.7
19.567,3.359,-1.511,-61.7
19.667,3.368,-1.529,-61.9
19.767,3.378,-1.548,-62.1
19.867,3.387,-1.567,-62.3
19.967,3.397,-1.586,-62.5
20.067,3.406,-1.605,-62.7
20.167,3.415,-1.623,-62.9
20.267,3.425,-1.642,-63.1
20.367,3.433,-1.660,-63.1
20.467,3.442,-1.677,-63.1
20.567,3.452,-1.696,-63.2
20.667,3.461,-1.716,-63.3
20.767,3.471,-1.735,-63.4
20.867,3.481,-1.755,-63.5
20.967,3.490,-1.775,-63.5
21.067,3.500,-1.794,-63.6
21.167,3.509,-1.814,-63.7
21.267,3.519,-1.834,-63.8
21.367,3.528,-1.853,-63.9
21.467,3.538,-1.873,-64.0
21.567,3.547,-1.893,-64.0
21.667,3.557,-1.912,-64.1
21.767,3.566,-1.932,-64.2
21.867,3.576,-1.952,-64.3
21.967,3.585,-1.972,-64.3
22.067,3.594,-1.991,-64.4
22.167,3.604,-2.011,-64.5
22.267,3.613,-2.031,-64.5
22.367,3.622,-2.051,-64.6
22.467,3.631,-2.070,-64.7
22.567,3.641,-2.090,-64.7
22.667,3.650,-2.110,-64.8
22.767,3.659,-2.130,-64.9
22.867,3.668,-2.150,-64.9
22.967,3.677,-2.169,-65.0
23.067,3.687,-2.189,-65.1
23.167,3.696,-2.209,-65.1
23.267,3.705,-2.229,-65.2
23.367,3.714,-2.249,-65.2
23.467,3.723,-2.269,-65.3
23.567,3.732,-2.289,-65.4
23.667,3.741,-2.309,-65.4
23.767,3.750,-2.329,-65.5
23.867,3.759,-2.348,-65.5
23.967,3.768,-2.368,-65.6
24.067,3.777,-2.388,-65.6
24.167,3.785,-2.407,-65.7
24.267,3.793,-2.425,-65.7
24.367,3.801,-2.442,-65.8
24.467,3.808,-2.458,-65.8
24.567,3.814,-2.473,-65.9
24.667,3.820,-2.486,-65.9
24.767,3.826,-2.499,-66.0
24.867,3.831,-2.511,-66.0
24.967,3.836,-2.522,-66.1
25.067,3.840,-2.532,-66.1
25.167,3.844,-2.541,-66.1
25.267,3.848,-2.550,-66.2
25.367,3.851,-2.558,-66.2
25.467,3.855,-2.565,-66.2
25.567,3.858,-2.572,-66.2
25.667,3.861,-2.579,-66.1
25.767,3.863,-2.585,-66.1
25.867,3.866,-2.591,-66.1
25.967,3.868,-2.596,-66.1
26.067,3.870,-2.601,-66.1
26.167,3.872,-2.605,-66.1
26.267,3.874,-2.609,-66.1
26.367,3.875,-2.612,-66.2
26.467,3.877,-2.615,-66.2
26.567,3.878,-2.618,-66.2
26.667,3.879,-2.621,-66.2
26.767,3.880,-2.623,-66.2
26.867,3.881,-2.625,-66.2
26.967,3.882,-2.628,-66.2
27.067,3.883,-2.630,-66.2
27.167,3.884,-2.632,-66.3
27.267,3.885,-2.633,-66.3
