# noise_v=0.03 noise_w=0.05 bias_w=0.0
ox,oy,oyaw,tx,ty,tyaw
-0.000,0.000,0.000,-0.000,-0.000,0.000
0.004,-0.000,-0.002,0.004,-0.000,-0.002
0.033,-0.001,-0.007,0.034,-0.001,-0.007
0.068,-0.001,-0.008,0.069,-0.001,-0.008
0.102,-0.002,-0.013,0.102,-0.002,-0.013
0.132,-0.004,-0.026,0.133,-0.004,-0.027
0.166,-0.005,-0.022,0.166,-0.005,-0.023
0.199,-0.005,-0.019,0.200,-0.005,-0.020
0.234,-0.007,-0.033,0.235,-0.007,-0.033
0.267,-0.008,-0.029,0.268,-0.008,-0.029
0.299,-0.009,-0.026,0.301,-0.009,-0.026
0.333,-0.009,-0.025,0.334,-0.009,-0.025
0.366,-0.010,-0.025,0.367,-0.010,-0.025
0.399,-0.011,-0.022,0.400,-0.011,-0.022
0.432,-0.008,0.003,0.433,-0.008,0.003
0.467,-0.004,0.043,0.467,-0.003,0.044
0.500,0.000,0.060,0.500,0.000,0.061
0.532,0.002,0.058,0.532,0.002,0.059
0.566,0.003,0.049,0.565,0.003,0.050
0.604,0.006,0.061,0.601,0.006,0.063
0.640,0.008,0.055,0.638,0.008,0.057
0.676,0.008,0.044,0.674,0.009,0.047
0.712,0.009,0.034,0.709,0.009,0.036
0.749,0.008,0.023,0.746,0.009,0.025
0.785,0.008,0.012,0.782,0.008,0.014
0.820,0.007,0.002,0.817,0.008,0.005
0.853,0.006,-0.006,0.852,0.007,-0.004
0.887,0.005,-0.013,0.886,0.006,-0.011
0.921,0.004,-0.019,0.920,0.005,-0.017
0.954,0.003,-0.025,0.953,0.004,-0.022
0.987,0.001,-0.030,0.987,0.002,-0.027
1.020,-0.000,-0.034,1.019,0.001,-0.032
1.054,-0.002,-0.038,1.052,-0.001,-0.036
1.086,-0.004,-0.043,1.085,-0.002,-0.040
1.118,-0.006,-0.047,1.118,-0.004,-0.045
1.151,-0.008,-0.051,1.151,-0.006,-0.049
1.183,-0.010,-0.055,1.184,-0.008,-0.053
1.216,-0.012,-0.060,1.217,-0.011,-0.058
1.249,-0.015,-0.064,1.249,-0.013,-0.062
1.278,-0.017,-0.069,1.278,-0.015,-0.067
1.307,-0.020,-0.074,1.307,-0.018,-0.072
1.334,-0.022,-0.079,1.334,-0.021,-0.077
1.362,-0.025,-0.082,1.362,-0.023,-0.080
1.390,-0.028,-0.086,1.389,-0.026,-0.084
1.418,-0.030,-0.089,1.417,-0.028,-0.087
1.444,-0.033,-0.091,1.444,-0.031,-0.089
1.471,-0.036,-0.093,1.470,-0.033,-0.091
1.498,-0.038,-0.094,1.497,-0.036,-0.092
1.525,-0.041,-0.096,1.523,-0.039,-0.094
1.551,-0.044,-0.098,1.550,-0.041,-0.096
1.578,-0.047,-0.100,1.576,-0.044,-0.098
1.605,-0.049,-0.102,1.603,-0.047,-0.100
1.631,-0.052,-0.102,1.629,-0.050,-0.100
1.656,-0.055,-0.102,1.654,-0.052,-0.100
1.681,-0.057,-0.102,1.680,-0.055,-0.100
1.705,-0.060,-0.100,1.705,-0.057,-0.098
1.730,-0.062,-0.098,1.729,-0.059,-0.097
1.755,-0.064,-0.097,1.754,-0.062,-0.095
1.780,-0.067,-0.096,1.779,-0.064,-0.094
1.806,-0.069,-0.094,1.804,-0.066,-0.092
1.831,-0.071,-0.093,1.829,-0.068,-0.091
1.856,-0.073,-0.092,1.854,-0.070,-0.090
1.880,-0.075,-0.090,1.879,-0.072,-0.088
1.905,-0.077,-0.089,1.904,-0.074,-0.087
1.929,-0.079,-0.087,1.928,-0.076,-0.085
1.954,-0.081,-0.086,1.953,-0.078,-0.084
1.978,-0.083,-0.085,1.977,-0.080,-0.082
2.003,-0.085,-0.083,2.002,-0.082,-0.081
2.027,-0.087,-0.082,2.026,-0.084,-0.080
2.051,-0.089,-0.080,2.051,-0.086,-0.078
2.075,-0.091,-0.079,2.075,-0.087,-0.077
2.100,-0.092,-0.077,2.099,-0.089,-0.075
2.124,-0.094,-0.076,2.123,-0.091,-0.074
2.148,-0.096,-0.074,2.148,-0.092,-0.072
2.163,-0.098,-0.087,2.163,-0.095,-0.085
2.168,-0.107,-0.171,2.168,-0.104,-0.173
2.171,-0.118,-0.272,2.170,-0.115,-0.271
2.172,-0.129,-0.371,2.172,-0.126,-0.369
2.176,-0.144,-0.490,2.175,-0.140,-0.490
2.177,-0.160,-0.616,2.177,-0.156,-0.616
2.177,-0.176,-0.741,2.177,-0.173,-0.740
2.176,-0.192,-0.856,2.175,-0.188,-0.861
