mission,goal_x,goal_y,result,wall_s,epoch_start,epoch_end
adjacent-x,7.24,-3.84,SUCCEEDED,106.5,1785331434.9,1785331541.6
adjacent-y,-2.16,7.36,ABORTED,48.4,1785331544.6,1785331593.0
diagonal,7.24,7.36,ABORTED,2.6,1785331596.0,1785331598.6
home,0.00,0.00,ABORTED,54.2,1785331601.6,1785331655.8
