# seed=20260723002 wall_start=2026-07-26 14:37:07 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
0.067,-0.000,-0.000,0.0,6.448,-3.974,1.094,8.298,7.396,8.250
0.167,-0.000,-0.000,0.0,6.424,-3.861,0.981,8.294,7.427,8.171
0.267,0.012,-0.001,-0.5,6.400,-3.749,0.868,8.291,7.458,8.092
0.367,0.045,-0.004,-2.1,6.376,-3.636,0.755,8.287,7.489,8.013
0.467,0.079,-0.009,-3.7,6.352,-3.524,0.642,8.283,7.520,7.934
0.567,0.112,-0.015,-5.3,6.328,-3.411,0.529,8.279,7.551,7.855
0.667,0.147,-0.021,-6.8,6.304,-3.299,0.416,8.276,7.582,7.776
0.767,0.182,-0.028,-8.1,6.280,-3.187,0.303,8.272,7.613,7.697
0.867,0.219,-0.036,-9.2,6.256,-3.074,0.190,8.268,7.644,7.618
0.967,0.256,-0.044,-10.2,6.232,-2.962,0.077,8.264,7.676,7.539
1.067,0.276,-0.047,-9.9,6.208,-2.849,-0.036,8.261,7.707,7.459
1.167,0.299,-0.049,-9.2,6.184,-2.737,-0.149,8.257,7.738,7.380
1.267,0.329,-0.055,-9.4,6.159,-2.624,-0.262,8.253,7.769,7.301
1.367,0.347,-0.056,-8.5,6.135,-2.512,-0.375,8.250,7.800,7.222
1.467,0.372,-0.059,-8.1,6.111,-2.399,-0.488,8.246,7.831,7.143
1.567,0.403,-0.064,-8.4,6.087,-2.287,-0.601,8.242,7.862,7.064
1.667,0.434,-0.069,-8.6,6.063,-2.174,-0.713,8.238,7.893,6.985
1.767,0.452,-0.070,-7.7,6.039,-2.062,-0.826,8.235,7.924,6.906
1.867,0.464,-0.069,-6.5,6.015,-1.950,-0.939,8.231,7.956,6.827
1.967,0.477,-0.068,-5.3,5.991,-1.837,-1.052,8.227,7.987,6.748
2.067,0.488,-0.067,-4.0,5.967,-1.725,-1.165,8.223,8.018,6.668
2.167,0.500,-0.066,-2.8,5.943,-1.612,-1.278,8.220,8.049,6.589
2.267,0.514,-0.064,-1.7,5.919,-1.500,-1.391,8.216,8.080,6.510
2.367,0.528,-0.063,-0.8,5.895,-1.387,-1.504,8.212,8.111,6.431
2.467,0.544,-0.061,0.1,5.871,-1.275,-1.504,8.212,8.142,6.352
2.567,0.560,-0.060,0.8,5.847,-1.162,-1.504,8.212,8.173,6.273
2.667,0.578,-0.059,1.5,5.823,-1.050,-1.504,8.212,8.204,6.194
2.767,0.596,-0.057,2.0,5.799,-0.937,-1.504,8.212,8.236,6.115
2.867,0.614,-0.055,2.5,5.775,-0.825,-1.504,8.212,8.267,6.036
2.967,0.633,-0.054,2.9,5.751,-0.712,-1.504,8.212,8.298,5.956
3.067,0.653,-0.052,3.3,5.727,-0.600,-1.504,8.212,8.329,5.877
3.167,0.673,-0.050,3.6,5.703,-0.488,-1.504,8.212,8.360,5.798
3.267,0.693,-0.049,3.8,5.679,-0.375,-1.504,8.212,8.391,5.719
3.367,0.714,-0.047,4.1,5.655,-0.263,-1.504,8.212,8.422,5.640
3.467,0.735,-0.045,4.3,5.631,-0.150,-1.504,8.212,8.453,5.561
3.567,0.756,-0.043,4.4,5.607,-0.038,-1.504,8.212,8.484,5.482
3.667,0.777,-0.041,4.6,5.582,0.075,-1.504,8.212,8.516,5.403
3.767,0.798,-0.039,4.8,5.558,0.187,-1.504,8.212,8.547,5.324
3.867,0.820,-0.037,4.9,5.534,0.300,-1.504,8.212,8.578,5.245
3.967,0.842,-0.035,4.9,5.510,0.412,-1.504,8.212,8.609,5.165
4.067,0.864,-0.033,5.0,5.486,0.525,-1.504,8.212,8.640,5.086
4.167,0.886,-0.031,5.1,5.462,0.637,-1.504,8.212,8.645,5.073
4.267,0.907,-0.029,5.2,5.438,0.750,-1.504,8.212,8.645,5.073
4.367,0.929,-0.027,5.2,5.414,0.862,-1.504,8.212,8.645,5.073
4.467,0.951,-0.024,5.3,5.390,0.974,-1.504,8.212,8.645,5.073
4.567,0.973,-0.022,5.4,5.366,1.087,-1.504,8.212,8.645,5.073
4.667,0.995,-0.020,5.4,5.342,1.199,-1.504,8.212,8.645,5.073
4.767,1.016,-0.018,5.5,5.318,1.312,-1.504,8.212,8.645,5.073
4.867,1.038,-0.016,5.6,5.294,1.424,-1.504,8.212,8.645,5.073
4.967,1.060,-0.013,5.7,5.270,1.537,-1.504,8.212,8.645,5.073
5.067,1.082,-0.011,5.7,5.189,1.559,-1.504,8.212,8.645,5.073
5.167,1.103,-0.009,5.8,5.074,1.563,-1.504,8.212,8.645,5.073
5.267,1.127,-0.007,5.6,4.960,1.568,-1.504,8.212,8.645,5.073
5.367,1.151,-0.005,5.3,4.845,1.573,-1.504,8.212,8.645,5.073
5.467,1.175,-0.003,5.1,4.730,1.577,-1.422,8.165,8.645,5.073
5.567,1.198,-0.001,4.9,4.615,1.582,-1.324,8.109,8.645,5.073
5.667,1.221,0.000,4.8,4.500,1.587,-1.226,8.053,8.645,5.073
5.767,1.243,0.002,4.9,4.385,1.592,-1.128,7.996,8.645,5.073
5.867,1.264,0.004,5.1,4.270,1.596,-1.031,7.940,8.645,5.073
5.967,1.284,0.007,5.3,4.155,1.601,-0.933,7.884,8.645,5.073
6.067,1.303,0.009,5.7,4.040,1.606,-0.835,7.827,8.645,5.073
6.167,1.323,0.012,6.2,3.925,1.610,-0.737,7.771,8.645,5.073
6.267,1.334,0.018,8.8,3.810,1.615,-0.639,7.715,8.645,5.073
6.367,1.341,0.030,14.7,3.696,1.620,-0.541,7.659,8.645,5.073
6.467,1.354,0.044,19.7,3.581,1.625,-0.443,7.602,8.645,5.073
6.567,1.375,0.052,20.0,3.505,1.594,-0.345,7.546,8.645,5.073
6.667,1.398,0.060,19.8,3.449,1.493,-0.247,7.490,8.645,5.073
6.767,1.422,0.067,19.2,3.392,1.393,-0.149,7.433,8.645,5.073
6.867,1.430,0.076,22.4,3.336,1.292,-0.051,7.377,8.645,5.073
6.967,1.434,0.089,28.1,3.280,1.192,0.047,7.321,8.645,5.073
7.067,1.437,0.103,33.9,3.224,1.091,0.145,7.264,8.645,5.073
7.167,1.439,0.117,39.7,3.168,0.991,0.243,7.208,8.623,5.125
7.267,1.439,0.131,45.3,3.112,0.891,0.341,7.152,8.590,5.204
7.367,1.450,0.150,48.4,3.056,0.790,0.439,7.095,8.557,5.282
7.467,1.451,0.162,52.1,3.000,0.690,0.537,7.039,8.524,5.360
7.567,1.449,0.174,57.0,2.944,0.589,0.586,7.011,8.491,5.439
7.667,1.447,0.187,61.7,2.888,0.489,0.586,7.011,8.458,5.517
7.767,1.444,0.199,66.3,2.832,0.388,0.586,7.011,8.425,5.595
7.867,1.444,0.217,70.0,2.776,0.288,0.586,7.011,8.392,5.674
7.967,1.450,0.231,69.4,2.720,0.188,0.586,7.011,8.359,5.752
8.067,1.457,0.241,68.1,2.664,0.087,0.586,7.011,8.326,5.830
