# noise_v=0.03 noise_w=0.05 bias_w=0.0
ox,oy,oyaw,tx,ty,tyaw
0.000,0.000,0.000,-0.000,-0.000,0.000
-0.000,0.000,0.000,-0.000,-0.000,0.000
0.004,-0.000,-0.002,0.004,-0.000,-0.002
0.036,-0.002,-0.017,0.035,-0.002,-0.016
0.061,-0.006,-0.045,0.060,-0.006,-0.045
0.070,-0.010,-0.082,0.069,-0.010,-0.082
0.079,-0.015,-0.122,0.078,-0.015,-0.123
0.087,-0.020,-0.162,0.086,-0.020,-0.162
0.096,-0.026,-0.202,0.095,-0.026,-0.201
0.104,-0.029,-0.217,0.103,-0.029,-0.217
0.114,-0.029,-0.194,0.112,-0.028,-0.191
0.122,-0.032,-0.205,0.120,-0.031,-0.203
0.130,-0.035,-0.220,0.128,-0.034,-0.217
0.139,-0.036,-0.211,0.137,-0.035,-0.210
0.148,-0.034,-0.174,0.146,-0.033,-0.172
0.157,-0.033,-0.152,0.155,-0.033,-0.151
0.166,-0.033,-0.136,0.164,-0.032,-0.135
0.176,-0.030,-0.095,0.174,-0.029,-0.095
0.185,-0.027,-0.058,0.183,-0.026,-0.058
0.194,-0.026,-0.046,0.192,-0.026,-0.047
0.203,-0.030,-0.079,0.201,-0.030,-0.080
0.216,-0.036,-0.119,0.215,-0.035,-0.121
0.233,-0.043,-0.162,0.231,-0.042,-0.165
0.248,-0.050,-0.207,0.246,-0.049,-0.210
0.265,-0.054,-0.212,0.263,-0.054,-0.215
0.266,-0.052,-0.187,0.265,-0.051,-0.189
0.267,-0.049,-0.153,0.265,-0.048,-0.155
0.268,-0.045,-0.113,0.266,-0.044,-0.116
0.268,-0.041,-0.073,0.266,-0.040,-0.076
0.268,-0.037,-0.037,0.266,-0.037,-0.039
0.268,-0.033,-0.003,0.266,-0.033,-0.005
0.270,-0.031,0.023,0.269,-0.031,0.020
0.287,-0.032,0.008,0.285,-0.032,0.006
0.307,-0.034,-0.014,0.305,-0.034,-0.018
0.328,-0.038,-0.039,0.326,-0.038,-0.044
0.350,-0.042,-0.069,0.348,-0.042,-0.073
0.371,-0.046,-0.095,0.369,-0.046,-0.099
