# seed=20260723023 wall_start=2026-07-23 17:58:11
sim_t,x,y,yaw_deg
0.033,-0.000,-0.000,0.0
0.133,-0.000,-0.000,0.0
0.233,-0.000,-0.000,0.0
0.333,0.022,-0.000,-0.0
0.433,0.053,0.001,0.6
0.533,0.085,0.003,1.3
0.633,0.116,0.005,2.0
0.733,0.147,0.007,2.6
0.833,0.177,0.010,3.1
0.933,0.205,0.012,3.5
1.033,0.234,0.015,3.8
1.133,0.262,0.017,4.1
1.233,0.290,0.020,4.4
1.333,0.317,0.022,4.5
1.433,0.344,0.025,4.7
1.533,0.371,0.027,4.8
1.633,0.397,0.029,4.9
1.733,0.423,0.032,5.0
1.833,0.449,0.034,4.9
1.933,0.474,0.036,4.9
2.033,0.500,0.038,4.9
2.133,0.525,0.040,4.9
2.233,0.549,0.042,4.7
2.333,0.574,0.044,4.6
2.433,0.598,0.046,4.5
2.533,0.623,0.047,4.4
2.633,0.648,0.049,4.3
2.733,0.672,0.051,4.1
2.833,0.697,0.052,4.0
2.933,0.722,0.054,3.9
3.033,0.746,0.055,3.8
3.133,0.771,0.056,3.7
3.233,0.796,0.058,3.5
3.333,0.820,0.059,3.4
3.433,0.844,0.060,3.2
3.533,0.868,0.061,3.0
3.633,0.891,0.062,2.7
3.733,0.915,0.062,2.5
3.833,0.939,0.063,2.3
3.933,0.963,0.063,2.1
4.033,0.987,0.064,1.9
4.133,1.010,0.064,1.7
4.233,1.034,0.065,1.4
4.333,1.059,0.065,1.3
4.433,1.084,0.065,1.2
4.533,1.109,0.066,1.1
4.633,1.133,0.066,1.0
4.733,1.158,0.066,0.9
4.833,1.183,0.066,0.8
4.933,1.207,0.066,0.6
5.033,1.231,0.066,0.4
5.133,1.255,0.066,0.2
5.233,1.279,0.066,0.0
5.333,1.303,0.065,-0.2
5.433,1.327,0.065,-0.4
5.533,1.351,0.064,-0.6
5.633,1.375,0.063,-0.8
5.733,1.399,0.063,-1.0
5.833,1.423,0.062,-1.2
5.933,1.447,0.061,-1.4
6.033,1.472,0.060,-1.6
6.133,1.496,0.059,-1.8
6.233,1.520,0.058,-2.0
6.333,1.544,0.057,-2.2
6.433,1.568,0.055,-2.4
6.533,1.592,0.054,-2.6
6.633,1.616,0.052,-2.8
6.733,1.640,0.051,-2.9
6.833,1.665,0.049,-3.1
6.933,1.689,0.047,-3.3
7.033,1.713,0.046,-3.5
7.133,1.737,0.044,-3.7
7.233,1.761,0.042,-3.9
7.333,1.785,0.040,-4.2
7.433,1.807,0.037,-4.5
7.533,1.830,0.035,-4.9
7.633,1.852,0.032,-5.3
7.733,1.874,0.029,-5.7
7.833,1.896,0.026,-6.1
7.933,1.918,0.023,-6.5
8.033,1.941,0.020,-6.8
8.133,1.965,0.016,-7.1
8.233,1.988,0.013,-7.4
8.333,2.012,0.009,-7.6
8.433,2.036,0.006,-7.8
8.533,2.062,0.002,-7.9
8.633,2.088,-0.002,-8.0
8.733,2.114,-0.006,-8.0
8.833,2.140,-0.009,-8.1
8.933,2.167,-0.013,-8.1
9.033,2.194,-0.017,-8.1
9.133,2.220,-0.021,-8.2
9.233,2.247,-0.025,-8.2
9.333,2.265,-0.028,-8.7
9.433,2.277,-0.032,-9.7
9.533,2.288,-0.036,-10.6
9.633,2.299,-0.040,-11.6
9.733,2.310,-0.044,-12.7
9.833,2.321,-0.048,-13.7
9.933,2.332,-0.053,-14.6
10.033,2.345,-0.058,-15.5
10.133,2.358,-0.063,-16.2
10.233,2.371,-0.068,-16.9
10.333,2.386,-0.074,-17.5
10.433,2.401,-0.080,-18.0
10.533,2.417,-0.086,-18.4
10.633,2.434,-0.092,-18.7
10.733,2.451,-0.098,-19.0
10.833,2.468,-0.105,-19.2
10.933,2.480,-0.111,-20.5
11.033,2.495,-0.120,-21.8
11.133,2.510,-0.127,-22.3
11.233,2.517,-0.136,-25.8
11.333,2.522,-0.147,-29.7
11.433,2.526,-0.157,-33.5
11.533,2.530,-0.168,-37.1
11.633,2.533,-0.178,-40.5
11.733,2.537,-0.188,-43.4
11.833,2.540,-0.198,-45.8
11.933,2.544,-0.207,-47.8
12.033,2.548,-0.215,-49.4
12.133,2.552,-0.224,-50.9
12.233,2.556,-0.232,-52.1
12.333,2.560,-0.242,-53.2
12.433,2.566,-0.252,-54.0
12.533,2.573,-0.264,-54.9
12.633,2.580,-0.276,-55.5
12.733,2.588,-0.290,-56.0
12.833,2.597,-0.304,-56.4
12.933,2.606,-0.318,-56.7
13.033,2.615,-0.333,-57.0
13.133,2.624,-0.349,-57.2
13.233,2.634,-0.364,-57.4
13.333,2.644,-0.380,-57.6
13.433,2.654,-0.396,-57.7
13.533,2.664,-0.413,-57.8
13.633,2.674,-0.429,-57.9
13.733,2.684,-0.446,-58.0
13.833,2.694,-0.462,-58.0
13.933,2.704,-0.479,-58.1
14.033,2.714,-0.495,-58.2
14.133,2.724,-0.512,-58.3
14.233,2.734,-0.528,-58.4
14.333,2.744,-0.545,-58.5
14.433,2.754,-0.561,-58.6
14.533,2.764,-0.578,-58.7
14.633,2.774,-0.595,-58.7
14.733,2.788,-0.616,-58.4
14.833,2.804,-0.640,-58.0
14.933,2.820,-0.664,-57.5
15.033,2.836,-0.688,-57.0
15.133,2.853,-0.711,-56.6
15.233,2.869,-0.734,-56.3
15.333,2.884,-0.757,-56.0
15.433,2.900,-0.779,-55.7
15.533,2.915,-0.801,-55.5
15.633,2.930,-0.823,-55.4
15.733,2.945,-0.844,-55.3
15.833,2.960,-0.865,-55.2
15.933,2.975,-0.886,-55.1
16.033,2.990,-0.907,-55.1
16.133,3.004,-0.927,-55.0
16.233,3.018,-0.948,-55.0
16.333,3.032,-0.968,-55.1
16.433,3.046,-0.988,-55.1
16.533,3.060,-1.007,-55.2
16.633,3.073,-1.027,-55.3
16.733,3.086,-1.047,-55.4
16.833,3.100,-1.066,-55.5
16.933,3.113,-1.086,-55.6
17.033,3.126,-1.106,-55.7
17.133,3.139,-1.126,-55.8
17.233,3.152,-1.145,-55.9
17.333,3.165,-1.165,-56.0
17.433,3.178,-1.184,-56.2
17.533,3.191,-1.204,-56.3
17.633,3.201,-1.220,-56.6
17.733,3.209,-1.233,-57.0
17.833,3.217,-1.247,-57.5
17.933,3.224,-1.260,-57.9
18.033,3.232,-1.273,-58.4
18.133,3.239,-1.287,-58.8
18.233,3.247,-1.301,-59.1
18.333,3.255,-1.316,-59.5
18.433,3.263,-1.331,-59.9
18.533,3.275,-1.351,-59.9
18.633,3.285,-1.370,-60.0
18.733,3.294,-1.385,-60.2
18.833,3.302,-1.401,-60.4
18.933,3.311,-1.417,-60.5
19.033,3.319,-1.432,-60.7
19.133,3.328,-1.448,-60.9
19.233,3.336,-1.465,-61.1
19.333,3.346,-1.482,-61.4
19.433,3.355,-1.500,-61.7
19.533,3.364,-1.519,-62.0
19.633,3.372,-1.536,-62.2
19.733,3.381,-1.552,-62.2
19.833,3.390,-1.570,-62.4
19.933,3.400,-1.589,-62.6
20.033,3.409,-1.608,-62.8
20.133,3.418,-1.627,-63.0
20.233,3.427,-1.645,-63.1
20.333,3.436,-1.662,-63.1
20.433,3.445,-1.681,-63.2
20.533,3.455,-1.700,-63.3
20.633,3.465,-1.720,-63.3
20.733,3.474,-1.740,-63.4
20.833,3.484,-1.759,-63.5
20.933,3.493,-1.779,-63.6
21.033,3.503,-1.798,-63.7
21.133,3.513,-1.818,-63.8
21.233,3.522,-1.838,-63.9
21.333,3.532,-1.858,-63.9
21.433,3.541,-1.877,-64.0
21.533,3.550,-1.897,-64.1
21.633,3.560,-1.917,-64.2
21.733,3.569,-1.936,-64.2
21.833,3.579,-1.956,-64.3
21.933,3.588,-1.976,-64.4
22.033,3.597,-1.996,-64.5
22.133,3.607,-2.015,-64.5
22.233,3.616,-2.035,-64.6
22.333,3.625,-2.055,-64.7
22.433,3.634,-2.075,-64.7
22.533,3.644,-2.095,-64.8
22.633,3.653,-2.114,-64.9
22.733,3.662,-2.134,-64.9
22.833,3.671,-2.154,-65.0
22.933,3.680,-2.174,-65.1
23.033,3.689,-2.194,-65.1
23.133,3.698,-2.214,-65.2
23.233,3.707,-2.234,-65.3
23.333,3.716,-2.254,-65.3
23.433,3.725,-2.273,-65.4
23.533,3.734,-2.293,-65.5
23.633,3.743,-2.313,-65.5
23.733,3.752,-2.333,-65.6
23.833,3.761,-2.353,-65.6
23.933,3.770,-2.373,-65.7
24.033,3.779,-2.393,-65.8
24.133,3.787,-2.412,-65.8
24.233,3.796,-2.431,-65.8
24.333,3.803,-2.448,-65.8
24.433,3.811,-2.464,-65.7
24.533,3.818,-2.480,-65.7
24.633,3.824,-2.494,-65.7
