mission,goal_x,goal_y,attempt,result,wall_s,epoch_start,epoch_end
adjacent-x,6.75,2.98,1,ABORTED,79.2,1785498728.9,1785498808.4
adjacent-x,6.75,2.98,2,ABORTED,35.0,1785498828.4,1785498863.4
adjacent-y,-3.77,-6.72,1,ABORTED,49.0,1785498866.4,1785498915.4
adjacent-y,-3.77,-6.72,2,ABORTED,25.0,1785498935.4,1785498960.4
diagonal,7.35,-5.98,1,ABORTED,47.0,1785498963.4,1785499010.4
diagonal,7.35,-5.98,2,ABORTED,9.8,1785499030.4,1785499040.2
home,0.00,0.00,1,ABORTED,50.2,1785499043.2,1785499093.4
home,0.00,0.00,2,ABORTED,26.0,1785499113.4,1785499139.4
