# seed=20260723021 wall_start=2026-07-25 05:36:15 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
0.033,-0.000,-0.000,0.0,-8.274,8.481,-1.733,-5.271,-7.642,0.452
0.133,-0.000,-0.000,0.0,-8.239,8.367,-1.812,-5.339,-7.591,0.523
0.233,0.001,-0.001,-0.6,-8.203,8.254,-1.891,-5.407,-7.541,0.594
0.333,0.008,-0.009,-4.9,-8.168,8.140,-1.970,-5.474,-7.491,0.665
0.433,0.016,-0.019,-9.8,-8.133,8.027,-2.049,-5.542,-7.441,0.736
0.533,0.024,-0.029,-14.8,-8.097,7.913,-2.128,-5.610,-7.391,0.807
0.633,0.030,-0.041,-19.9,-8.062,7.799,-2.207,-5.678,-7.341,0.878
0.733,0.036,-0.052,-24.7,-8.027,7.686,-2.286,-5.745,-7.290,0.949
0.833,0.041,-0.063,-29.1,-7.991,7.572,-2.365,-5.813,-7.240,1.020
0.933,0.045,-0.074,-32.9,-7.956,7.458,-2.443,-5.881,-7.190,1.091
1.033,0.050,-0.083,-35.7,-7.921,7.345,-2.522,-5.949,-7.140,1.163
1.133,0.055,-0.092,-38.3,-7.885,7.231,-2.601,-6.016,-7.090,1.234
1.233,0.059,-0.101,-40.4,-7.850,7.118,-2.680,-6.084,-7.039,1.305
1.333,0.064,-0.109,-42.1,-7.815,7.004,-2.759,-6.152,-6.989,1.376
1.433,0.069,-0.117,-43.6,-7.779,6.890,-2.838,-6.220,-6.939,1.447
1.533,0.074,-0.125,-44.8,-7.744,6.777,-2.917,-6.287,-6.889,1.518
1.633,0.080,-0.134,-45.9,-7.709,6.663,-2.996,-6.355,-6.839,1.589
1.733,0.087,-0.143,-46.8,-7.673,6.549,-3.075,-6.423,-6.789,1.660
1.833,0.095,-0.154,-47.6,-7.638,6.436,-3.154,-6.490,-6.738,1.731
1.933,0.103,-0.165,-48.2,-7.603,6.322,-3.233,-6.558,-6.688,1.802
2.033,0.112,-0.177,-48.8,-7.567,6.208,-3.312,-6.626,-6.638,1.873
2.133,0.122,-0.189,-49.3,-7.532,6.095,-3.390,-6.694,-6.588,1.944
2.233,0.137,-0.207,-49.4,-7.497,5.981,-3.469,-6.761,-6.538,2.015
2.333,0.148,-0.221,-49.7,-7.461,5.868,-3.548,-6.829,-6.487,2.086
2.433,0.159,-0.235,-49.9,-7.426,5.754,-3.627,-6.897,-6.437,2.157
2.533,0.170,-0.249,-50.1,-7.391,5.640,-3.706,-6.965,-6.387,2.229
2.633,0.182,-0.263,-50.3,-7.355,5.527,-3.785,-7.032,-6.337,2.300
2.733,0.193,-0.277,-50.5,-7.320,5.413,-3.864,-7.100,-6.287,2.371
2.833,0.204,-0.291,-50.7,-7.284,5.299,-3.943,-7.168,-6.236,2.442
2.933,0.215,-0.305,-50.9,-7.249,5.186,-4.022,-7.235,-6.186,2.513
3.033,0.227,-0.320,-51.1,-7.231,5.129,-4.101,-7.303,-6.136,2.584
3.133,0.238,-0.334,-51.1,-7.231,5.129,-4.180,-7.371,-6.086,2.655
3.233,0.250,-0.349,-51.2,-7.231,5.129,-4.259,-7.439,-6.086,2.655
3.333,0.262,-0.364,-51.4,-7.231,5.129,-4.338,-7.506,-6.086,2.655
3.433,0.273,-0.379,-51.5,-7.231,5.129,-4.351,-7.518,-6.086,2.655
