# seed=20260723005 wall_start=2026-07-26 15:37:20 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
0.067,-0.000,-0.000,0.0,2.730,-4.767,-1.503,-5.385,8.123,7.283
0.167,-0.000,-0.000,0.0,2.650,-4.721,-1.503,-5.385,8.123,7.283
0.267,0.004,-0.000,-0.1,2.571,-4.675,-1.503,-5.385,8.123,7.283
0.367,0.034,0.001,0.6,2.491,-4.630,-1.503,-5.385,8.123,7.283
0.467,0.068,0.005,2.2,2.411,-4.584,-1.503,-5.385,8.123,7.283
0.567,0.103,0.010,3.8,2.331,-4.538,-1.503,-5.385,8.123,7.283
0.667,0.137,0.015,5.4,2.251,-4.492,-1.503,-5.385,8.123,7.283
0.767,0.171,0.022,7.0,2.172,-4.446,-1.503,-5.385,8.123,7.283
0.867,0.204,0.029,8.3,2.092,-4.401,-1.503,-5.385,8.123,7.283
0.967,0.236,0.036,9.6,2.012,-4.355,-1.503,-5.385,8.123,7.283
1.067,0.266,0.043,10.7,1.932,-4.309,-1.503,-5.385,8.123,7.283
1.167,0.295,0.051,11.5,1.853,-4.263,-1.503,-5.385,8.123,7.283
1.267,0.322,0.058,12.3,1.773,-4.217,-1.503,-5.385,8.123,7.283
1.367,0.348,0.065,12.8,1.693,-4.171,-1.503,-5.385,8.123,7.283
1.467,0.374,0.071,13.3,1.613,-4.126,-1.503,-5.385,8.123,7.283
1.567,0.398,0.078,13.7,1.533,-4.080,-1.503,-5.385,8.123,7.283
1.667,0.422,0.084,13.9,1.454,-4.034,-1.503,-5.385,8.123,7.283
1.767,0.446,0.091,14.2,1.374,-3.988,-1.503,-5.385,8.123,7.283
1.867,0.469,0.097,14.3,1.294,-3.942,-1.503,-5.385,8.123,7.283
1.967,0.491,0.103,14.4,1.214,-3.896,-1.503,-5.385,8.123,7.283
2.067,0.513,0.109,14.6,1.135,-3.851,-1.503,-5.385,8.123,7.283
2.167,0.535,0.114,14.6,1.055,-3.805,-1.503,-5.385,8.123,7.283
2.267,0.557,0.120,14.6,0.975,-3.759,-1.503,-5.385,8.123,7.283
2.367,0.578,0.126,14.6,0.895,-3.713,-1.503,-5.385,8.123,7.283
2.467,0.600,0.131,14.6,0.880,-3.644,-1.503,-5.385,8.123,7.283
2.567,0.621,0.137,14.6,0.877,-3.552,-1.503,-5.385,8.123,7.283
2.667,0.642,0.142,14.6,0.874,-3.460,-1.503,-5.385,8.123,7.283
2.767,0.664,0.148,14.6,0.871,-3.368,-1.503,-5.385,8.123,7.283
2.867,0.685,0.153,14.5,0.867,-3.276,-1.503,-5.385,8.123,7.283
2.967,0.705,0.158,14.4,0.864,-3.185,-1.503,-5.385,8.123,7.283
3.067,0.726,0.163,14.3,0.861,-3.093,-1.503,-5.385,8.123,7.283
3.167,0.747,0.168,14.2,0.858,-3.001,-1.503,-5.385,8.123,7.283
3.267,0.767,0.173,14.1,0.855,-2.909,-1.503,-5.385,8.123,7.283
3.367,0.788,0.178,14.0,0.852,-2.817,-1.503,-5.385,8.123,7.283
3.467,0.809,0.183,13.9,0.849,-2.725,-1.503,-5.385,8.123,7.283
3.567,0.829,0.188,13.9,0.846,-2.633,-1.503,-5.385,8.123,7.283
3.667,0.850,0.193,13.8,0.843,-2.541,-1.503,-5.385,8.123,7.283
3.767,0.871,0.198,13.7,0.840,-2.449,-1.503,-5.385,8.123,7.283
3.867,0.891,0.203,13.6,0.836,-2.357,-1.503,-5.385,8.123,7.283
3.967,0.912,0.208,13.5,0.833,-2.265,-1.503,-5.385,8.123,7.283
4.067,0.933,0.213,13.5,0.830,-2.173,-1.503,-5.385,8.123,7.283
4.167,0.955,0.218,13.5,0.827,-2.081,-1.503,-5.385,8.123,7.283
4.267,0.976,0.223,13.5,0.824,-1.989,-1.503,-5.385,8.123,7.283
4.367,0.997,0.228,13.5,0.828,-1.913,-1.503,-5.385,8.123,7.283
4.467,1.018,0.233,13.5,0.844,-1.823,-1.503,-5.385,8.123,7.283
4.567,1.040,0.238,13.4,0.861,-1.732,-1.503,-5.385,8.123,7.283
4.667,1.060,0.243,13.4,0.877,-1.641,-1.503,-5.385,8.123,7.283
