# seed=20260723018 wall_start=2026-07-25 04:36:03 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
0.033,-0.000,-0.000,0.0,-7.343,0.275,8.379,0.962,-5.148,-7.738
0.133,-0.000,-0.000,0.0,-7.239,0.246,8.371,0.856,-5.148,-7.738
0.233,0.001,-0.001,-0.6,-7.135,0.216,8.362,0.749,-5.148,-7.738
0.333,0.009,-0.008,-4.3,-7.031,0.187,8.354,0.642,-5.148,-7.738
0.433,0.017,-0.016,-8.4,-6.927,0.158,8.346,0.535,-5.148,-7.738
0.533,0.025,-0.025,-12.5,-6.823,0.129,8.338,0.429,-5.148,-7.738
0.633,0.033,-0.033,-16.2,-6.719,0.099,8.330,0.322,-5.148,-7.738
0.733,0.040,-0.042,-19.4,-6.615,0.070,8.322,0.215,-5.148,-7.738
0.833,0.047,-0.049,-22.1,-6.511,0.041,8.314,0.109,-5.148,-7.738
0.933,0.053,-0.057,-24.4,-6.407,0.011,8.306,0.002,-5.148,-7.738
1.033,0.062,-0.065,-26.3,-6.303,-0.018,8.298,-0.105,-5.148,-7.738
1.133,0.068,-0.074,-29.6,-6.199,-0.047,8.290,-0.211,-5.148,-7.738
1.233,0.073,-0.084,-32.8,-6.095,-0.077,8.282,-0.318,-5.148,-7.738
1.333,0.077,-0.093,-35.8,-5.991,-0.106,8.274,-0.425,-5.148,-7.738
1.433,0.082,-0.103,-38.6,-5.887,-0.135,8.266,-0.532,-5.148,-7.738
1.533,0.086,-0.112,-41.1,-5.784,-0.165,8.257,-0.638,-5.148,-7.738
1.633,0.090,-0.121,-43.1,-5.680,-0.194,8.249,-0.745,-5.148,-7.738
1.733,0.094,-0.129,-44.9,-5.576,-0.223,8.241,-0.852,-5.148,-7.738
1.833,0.099,-0.137,-46.4,-5.472,-0.253,8.233,-0.958,-5.148,-7.738
1.933,0.103,-0.145,-47.6,-5.368,-0.282,8.225,-1.065,-5.148,-7.738
2.033,0.108,-0.153,-48.6,-5.264,-0.311,8.217,-1.172,-5.148,-7.738
2.133,0.114,-0.162,-49.5,-5.160,-0.341,8.209,-1.278,-5.148,-7.738
2.233,0.121,-0.173,-50.2,-5.056,-0.370,8.201,-1.385,-5.148,-7.738
2.333,0.128,-0.183,-50.8,-4.952,-0.399,8.193,-1.492,-5.148,-7.738
2.433,0.136,-0.195,-51.3,-4.848,-0.429,8.185,-1.598,-5.148,-7.738
2.533,0.145,-0.207,-51.8,-4.744,-0.458,8.177,-1.705,-5.148,-7.738
2.633,0.154,-0.219,-52.1,-4.692,-0.472,8.169,-1.812,-5.148,-7.738
2.733,0.168,-0.238,-52.4,-4.692,-0.472,8.161,-1.919,-5.148,-7.738
2.833,0.190,-0.263,-51.3,-4.692,-0.472,8.152,-2.025,-5.148,-7.738
2.933,0.214,-0.288,-49.6,-4.692,-0.472,8.144,-2.132,-5.148,-7.738
3.033,0.239,-0.312,-47.9,-4.692,-0.472,8.136,-2.239,-5.148,-7.738
3.133,0.264,-0.335,-46.3,-4.692,-0.472,8.128,-2.345,-5.148,-7.738
