mission,goal_x,goal_y,attempt,result,wall_s,epoch_start,epoch_end
adjacent-x,6.56,-2.42,1,ABORTED,119.1,1785418445.8,1785418565.1
adjacent-x,6.56,-2.42,2,ABORTED,41.9,1785418585.1,1785418627.0
adjacent-y,-2.24,6.98,1,ABORTED,49.1,1785418630.0,1785418679.1
adjacent-y,-2.24,6.98,2,ABORTED,58.3,1785418697.3,1785418755.6
diagonal,5.27,7.73,1,ABORTED,48.2,1785418758.6,1785418806.7
diagonal,5.27,7.73,2,ABORTED,44.0,1785418824.8,1785418868.9
home,0.00,0.00,1,SUCCEEDED,37.6,1785418871.9,1785418909.5
