# seed=20260723015 wall_start=2026-07-23 15:17:43
sim_t,x,y,yaw_deg
0.100,-0.000,-0.000,0.0
0.200,-0.000,-0.000,0.0
0.300,0.010,-0.000,-0.2
0.400,0.034,-0.001,-0.4
0.500,0.057,-0.001,-0.6
0.600,0.081,-0.002,-0.8
0.700,0.104,-0.003,-0.9
0.800,0.127,-0.003,-1.0
0.900,0.150,-0.004,-1.1
1.000,0.173,-0.004,-1.2
1.100,0.195,-0.005,-1.3
1.200,0.218,-0.006,-1.3
1.300,0.240,-0.006,-1.4
1.400,0.262,-0.007,-1.4
1.500,0.284,-0.007,-1.3
1.600,0.306,-0.008,-1.3
1.700,0.328,-0.008,-1.3
1.800,0.350,-0.009,-1.3
1.900,0.371,-0.009,-1.3
2.000,0.393,-0.010,-1.3
2.100,0.415,-0.010,-1.3
2.200,0.436,-0.011,-1.3
2.300,0.458,-0.011,-1.2
2.400,0.480,-0.011,-1.2
2.500,0.502,-0.012,-1.2
2.600,0.523,-0.012,-1.2
2.700,0.544,-0.012,-1.0
2.800,0.565,-0.013,-0.9
2.900,0.586,-0.013,-0.8
3.000,0.607,-0.013,-0.7
3.100,0.628,-0.013,-0.6
3.200,0.649,-0.013,-0.5
3.300,0.669,-0.013,-0.4
3.400,0.690,-0.013,-0.3
3.500,0.711,-0.013,-0.2
3.600,0.732,-0.013,-0.1
3.700,0.753,-0.012,0.0
3.800,0.771,-0.012,0.3
3.900,0.780,-0.010,1.3
4.000,0.789,-0.008,2.2
4.100,0.797,-0.006,3.2
4.200,0.813,-0.004,3.7
4.300,0.830,-0.002,4.1
4.400,0.853,-0.001,3.9
4.500,0.873,0.000,3.9
4.600,0.896,0.002,3.8
4.700,0.917,0.003,3.7
4.800,0.934,0.004,3.9
4.900,0.958,0.006,3.6
5.000,0.982,0.006,3.3
5.100,0.994,0.008,3.8
5.200,1.010,0.010,4.1
5.300,1.026,0.011,4.3
5.400,1.037,0.013,5.0
5.500,1.048,0.016,5.6
5.600,1.056,0.018,6.4
5.700,1.068,0.020,7.0
5.800,1.079,0.023,7.6
5.900,1.092,0.026,8.1
6.000,1.104,0.028,8.6
6.100,1.122,0.031,8.7
6.200,1.132,0.034,9.2
6.300,1.143,0.036,9.7
6.400,1.158,0.040,10.1
6.500,1.170,0.043,10.5
6.600,1.182,0.046,10.9
6.700,1.197,0.049,11.4
6.800,1.210,0.053,11.7
6.900,1.222,0.056,12.0
7.000,1.241,0.061,12.5
7.100,1.259,0.066,13.0
7.200,1.273,0.069,13.2
7.300,1.292,0.074,13.5
7.400,1.318,0.081,13.9
7.500,1.343,0.089,14.3
7.600,1.369,0.096,14.8
7.700,1.394,0.103,15.0
7.800,1.420,0.111,15.3
7.900,1.446,0.119,15.6
8.000,1.473,0.127,15.9
8.100,1.499,0.135,16.1
8.200,1.526,0.143,16.3
8.300,1.553,0.151,16.4
8.400,1.580,0.164,18.6
8.500,1.608,0.175,19.6
8.600,1.636,0.183,18.4
8.700,1.665,0.189,17.1
8.800,1.694,0.198,17.1
8.900,1.723,0.213,19.7
9.000,1.752,0.229,22.3
9.100,1.779,0.246,24.8
9.200,1.807,0.257,24.1
9.300,1.834,0.269,24.1
9.400,1.862,0.287,26.7
9.500,1.891,0.308,29.1
9.600,1.920,0.329,31.4
9.700,1.948,0.352,33.7
9.800,1.975,0.376,36.0
9.900,2.003,0.402,38.0
10.000,2.029,0.427,39.7
10.100,2.054,0.451,41.1
10.200,2.077,0.475,42.3
10.300,2.095,0.492,42.5
10.400,2.114,0.509,42.3
10.500,2.136,0.524,40.3
10.600,2.159,0.537,38.1
10.700,2.183,0.550,36.0
10.800,2.208,0.564,34.0
10.900,2.235,0.577,32.2
11.000,2.262,0.590,30.6
11.100,2.292,0.604,29.1
11.200,2.322,0.618,27.8
11.300,2.354,0.632,26.7
11.400,2.387,0.646,25.7
11.500,2.421,0.661,24.9
11.600,2.456,0.675,24.1
11.700,2.492,0.690,23.5
11.800,2.527,0.704,23.0
11.900,2.562,0.718,22.5
12.000,2.595,0.730,21.6
12.100,2.629,0.742,21.4
12.200,2.661,0.754,20.9
12.300,2.694,0.766,20.7
12.400,2.726,0.778,20.6
12.500,2.757,0.790,20.6
12.600,2.788,0.801,20.7
12.700,2.818,0.813,20.8
12.800,2.847,0.824,21.0
12.900,2.877,0.836,21.1
13.000,2.907,0.848,21.3
13.100,2.937,0.860,21.4
