# seed=20260723008 wall_start=2026-07-26 16:37:32 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
0.067,-0.000,-0.000,0.0,7.909,7.510,-8.028,-7.080,8.215,-2.265
0.167,-0.000,-0.000,0.0,7.866,7.430,-7.943,-7.021,8.126,-2.254
0.267,0.010,-0.000,-0.1,7.823,7.349,-7.859,-6.962,8.037,-2.243
0.367,0.031,0.000,0.1,7.780,7.269,-7.775,-6.903,7.947,-2.232
0.467,0.052,0.000,0.2,7.737,7.189,-7.690,-6.844,7.858,-2.222
0.567,0.073,0.001,0.4,7.694,7.109,-7.606,-6.785,7.769,-2.211
0.667,0.094,0.001,0.5,7.651,7.028,-7.522,-6.726,7.679,-2.200
0.767,0.115,0.002,0.7,7.608,6.948,-7.437,-6.667,7.590,-2.189
0.867,0.136,0.002,0.8,7.565,6.868,-7.353,-6.608,7.501,-2.178
0.967,0.157,0.003,0.9,7.522,6.788,-7.268,-6.549,7.411,-2.168
1.067,0.179,0.003,0.9,7.479,6.707,-7.184,-6.490,7.322,-2.157
1.167,0.201,0.004,1.0,7.436,6.627,-7.100,-6.431,7.232,-2.146
1.267,0.223,0.004,1.0,7.393,6.547,-7.015,-6.372,7.143,-2.135
1.367,0.244,0.005,1.0,7.351,6.467,-6.931,-6.313,7.054,-2.125
1.467,0.266,0.005,1.1,7.308,6.387,-6.846,-6.254,6.964,-2.114
1.567,0.288,0.006,1.1,7.265,6.306,-6.762,-6.194,6.875,-2.103
1.667,0.310,0.006,1.2,7.222,6.226,-6.678,-6.135,6.786,-2.092
1.767,0.332,0.007,1.2,7.179,6.146,-6.593,-6.076,6.696,-2.081
1.867,0.353,0.007,1.2,7.136,6.066,-6.509,-6.017,6.607,-2.071
1.967,0.375,0.008,1.3,7.093,5.985,-6.425,-5.958,6.518,-2.060
2.067,0.397,0.008,1.3,7.050,5.905,-6.340,-5.899,6.428,-2.049
2.167,0.419,0.009,1.3,7.007,5.825,-6.256,-5.840,6.339,-2.038
2.267,0.440,0.009,1.4,6.964,5.745,-6.171,-5.781,6.250,-2.028
2.367,0.462,0.010,1.4,6.921,5.664,-6.087,-5.722,6.160,-2.017
2.467,0.484,0.011,1.5,6.878,5.584,-6.003,-5.663,6.071,-2.006
