mission,goal_x,goal_y,attempt,result,wall_s,epoch_start,epoch_end
adjacent-x,7.17,-2.79,1,SUCCEEDED,230.0,1785485082.9,1785485313.1
adjacent-y,-2.83,7.21,1,ABORTED,12.6,1785485316.1,1785485328.7
adjacent-y,-2.83,7.21,2,ABORTED,3.8,1785485348.7,1785485352.4
diagonal,7.17,7.21,1,ABORTED,3.6,1785485355.4,1785485359.0
diagonal,7.17,7.21,2,ABORTED,4.5,1785485379.0,1785485383.4
home,0.00,0.00,1,ABORTED,59.9,1785485386.4,1785485446.3
home,0.00,0.00,2,ABORTED,38.5,1785485466.3,1785485504.8
