# seed=20260723025 wall_start=2026-07-24 21:25:31 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
0.033,-0.000,-0.000,0.0,2.827,-0.845,8.441,8.444,-7.664,2.959
0.133,-0.000,-0.000,0.0,2.812,-0.753,8.390,8.349,-7.629,2.896
0.233,-0.000,-0.000,0.0,2.796,-0.661,8.338,8.254,-7.593,2.832
0.333,0.002,0.000,0.2,2.781,-0.570,8.287,8.160,-7.558,2.768
0.433,0.008,0.001,0.4,2.765,-0.478,8.235,8.065,-7.522,2.704
0.533,0.027,0.002,0.9,2.750,-0.386,8.183,7.970,-7.487,2.640
0.633,0.045,0.003,1.6,2.734,-0.295,8.132,7.875,-7.452,2.576
0.733,0.059,0.003,1.2,2.718,-0.203,8.080,7.780,-7.416,2.513
0.833,0.069,-0.003,-2.4,2.703,-0.111,8.028,7.685,-7.381,2.449
0.933,0.079,-0.010,-6.0,2.687,-0.020,7.977,7.590,-7.345,2.385
1.033,0.088,-0.018,-9.6,2.672,0.072,7.925,7.496,-7.310,2.321
1.133,0.096,-0.026,-13.1,2.656,0.164,7.873,7.401,-7.274,2.257
1.233,0.104,-0.033,-16.0,2.641,0.256,7.822,7.306,-7.239,2.193
1.333,0.111,-0.040,-18.4,2.625,0.347,7.770,7.211,-7.204,2.130
1.433,0.119,-0.046,-20.2,2.610,0.439,7.719,7.116,-7.168,2.066
1.533,0.126,-0.051,-21.5,2.594,0.531,7.667,7.021,-7.133,2.002
1.633,0.136,-0.057,-22.6,2.578,0.622,7.615,6.926,-7.097,1.938
1.733,0.165,-0.071,-23.4,2.563,0.714,7.564,6.832,-7.062,1.874
1.833,0.196,-0.086,-23.9,2.547,0.806,7.512,6.737,-7.026,1.810
1.933,0.229,-0.101,-24.2,2.532,0.897,7.460,6.642,-6.991,1.747
2.033,0.264,-0.117,-24.2,2.516,0.989,7.409,6.547,-6.956,1.683
2.133,0.298,-0.132,-24.0,2.501,1.081,7.357,6.452,-6.920,1.619
2.233,0.331,-0.146,-23.7,2.485,1.172,7.306,6.357,-6.885,1.555
2.333,0.363,-0.159,-23.2,2.470,1.264,7.254,6.262,-6.849,1.491
2.433,0.394,-0.170,-22.6,2.454,1.356,7.202,6.168,-6.814,1.428
2.533,0.423,-0.181,-21.8,2.438,1.448,7.151,6.073,-6.778,1.364
2.633,0.446,-0.188,-20.7,2.423,1.539,7.099,5.978,-6.743,1.300
2.733,0.461,-0.190,-19.0,2.407,1.631,7.047,5.883,-6.708,1.236
2.833,0.476,-0.192,-17.3,2.392,1.723,6.996,5.788,-6.672,1.172
2.933,0.492,-0.193,-15.7,2.376,1.814,6.944,5.693,-6.637,1.108
3.033,0.509,-0.195,-14.2,2.361,1.906,6.893,5.598,-6.601,1.045
3.133,0.527,-0.197,-12.8,2.345,1.998,6.841,5.504,-6.566,0.981
3.233,0.546,-0.199,-11.6,2.330,2.089,6.824,5.472,-6.530,0.917
3.333,0.566,-0.201,-10.5,2.314,2.181,6.824,5.472,-6.495,0.853
3.433,0.588,-0.203,-9.6,2.298,2.273,6.824,5.472,-6.460,0.789
3.533,0.611,-0.206,-8.9,2.283,2.364,6.824,5.472,-6.424,0.725
3.633,0.636,-0.208,-8.2,2.267,2.456,6.824,5.472,-6.389,0.662
3.733,0.660,-0.210,-7.7,2.252,2.548,6.824,5.472,-6.353,0.598
3.833,0.685,-0.213,-7.2,2.236,2.639,6.824,5.472,-6.318,0.534
3.933,0.710,-0.215,-6.7,2.221,2.731,6.824,5.472,-6.282,0.470
4.033,0.736,-0.217,-6.3,2.205,2.823,6.824,5.472,-6.247,0.406
4.133,0.763,-0.219,-6.0,2.190,2.915,6.824,5.472,-6.212,0.342
4.233,0.790,-0.222,-5.7,2.174,3.006,6.824,5.472,-6.176,0.279
4.333,0.817,-0.224,-5.4,2.158,3.098,6.824,5.472,-6.141,0.215
4.433,0.844,-0.226,-5.2,2.143,3.190,6.824,5.472,-6.105,0.151
4.533,0.871,-0.228,-4.9,2.127,3.281,6.824,5.472,-6.070,0.087
4.633,0.899,-0.230,-4.7,2.112,3.373,6.824,5.472,-6.034,0.023
4.733,0.921,-0.231,-4.2,2.096,3.465,6.824,5.472,-5.999,-0.041
4.833,0.949,-0.232,-4.0,2.091,3.495,6.824,5.472,-5.964,-0.104
4.933,0.977,-0.234,-3.8,2.091,3.495,6.824,5.472,-5.928,-0.168
5.033,1.002,-0.235,-3.5,2.091,3.495,6.824,5.472,-5.893,-0.232
5.133,1.029,-0.236,-3.2,2.091,3.495,6.824,5.472,-5.857,-0.296
5.233,1.052,-0.236,-2.8,2.091,3.495,6.824,5.472,-5.822,-0.360
5.333,1.071,-0.236,-2.1,2.091,3.495,6.824,5.472,-5.786,-0.423
5.433,1.096,-0.236,-1.6,2.091,3.495,6.824,5.472,-5.751,-0.487
5.533,1.120,-0.236,-1.2,2.091,3.495,6.824,5.472,-5.716,-0.551
5.633,1.140,-0.235,-0.7,2.091,3.495,6.824,5.472,-5.680,-0.615
5.733,1.154,-0.233,0.6,2.091,3.495,6.824,5.472,-5.645,-0.679
5.833,1.163,-0.230,2.0,2.091,3.495,6.824,5.472,-5.609,-0.743
5.933,1.181,-0.227,3.1,2.091,3.495,6.824,5.472,-5.574,-0.806
6.033,1.195,-0.225,4.1,2.091,3.495,6.824,5.472,-5.538,-0.870
6.133,1.205,-0.222,5.4,2.091,3.495,6.824,5.472,-5.503,-0.934
6.233,1.217,-0.218,6.5,2.091,3.495,6.794,5.517,-5.468,-0.998
6.333,1.229,-0.215,7.6,2.091,3.495,6.736,5.608,-5.432,-1.062
6.433,1.255,-0.211,7.9,2.091,3.495,6.677,5.699,-5.397,-1.126
6.533,1.270,-0.207,8.7,2.091,3.495,6.619,5.790,-5.361,-1.189
6.633,1.288,-0.203,9.5,2.091,3.495,6.560,5.880,-5.326,-1.253
6.733,1.314,-0.199,9.5,2.091,3.495,6.502,5.971,-5.290,-1.317
6.833,1.331,-0.195,10.1,2.091,3.495,6.443,6.062,-5.255,-1.381
6.933,1.348,-0.191,10.6,2.091,3.495,6.385,6.153,-5.237,-1.413
7.033,1.365,-0.187,11.1,2.091,3.495,6.326,6.244,-5.237,-1.413
7.133,1.383,-0.182,11.5,2.091,3.495,6.268,6.334,-5.237,-1.413
7.233,1.401,-0.178,11.9,2.091,3.495,6.209,6.425,-5.237,-1.413
7.333,1.419,-0.173,12.3,2.091,3.495,6.151,6.516,-5.237,-1.413
7.433,1.437,-0.168,12.7,2.091,3.495,6.092,6.607,-5.237,-1.413
7.533,1.456,-0.163,13.0,2.091,3.495,6.034,6.697,-5.237,-1.413
7.633,1.475,-0.158,13.3,2.091,3.495,5.975,6.788,-5.237,-1.413
7.733,1.495,-0.153,13.5,2.091,3.495,5.917,6.879,-5.237,-1.413
7.833,1.514,-0.148,13.7,2.056,3.465,5.858,6.970,-5.237,-1.413
7.933,1.534,-0.143,13.9,1.985,3.404,5.800,7.061,-5.237,-1.413
8.033,1.555,-0.138,14.0,1.914,3.344,5.741,7.151,-5.237,-1.413
8.133,1.575,-0.133,14.0,1.844,3.283,5.683,7.242,-5.237,-1.413
8.233,1.596,-0.127,14.1,1.773,3.223,5.624,7.333,-5.237,-1.413
8.333,1.616,-0.122,14.2,1.703,3.162,5.566,7.424,-5.237,-1.413
8.433,1.636,-0.117,14.3,1.632,3.102,5.507,7.514,-5.237,-1.413
8.533,1.657,-0.111,14.4,1.561,3.041,5.459,7.590,-5.237,-1.413
8.633,1.677,-0.106,14.5,1.491,2.981,5.459,7.590,-5.237,-1.413
8.733,1.698,-0.100,14.6,1.420,2.920,5.459,7.590,-5.237,-1.413
8.833,1.718,-0.095,14.7,1.349,2.860,5.459,7.590,-5.237,-1.413
8.933,1.739,-0.089,14.8,1.279,2.799,5.459,7.590,-5.237,-1.413
9.033,1.759,-0.084,14.9,1.208,2.739,5.459,7.590,-5.237,-1.413
9.133,1.779,-0.078,15.0,1.137,2.678,5.459,7.590,-5.237,-1.413
9.233,1.800,-0.072,15.0,1.067,2.618,5.459,7.590,-5.237,-1.413
9.333,1.819,-0.067,15.2,0.996,2.557,5.459,7.590,-5.237,-1.413
9.433,1.838,-0.062,15.3,0.926,2.497,5.459,7.590,-5.237,-1.413
9.533,1.857,-0.056,15.4,0.855,2.436,5.459,7.590,-5.237,-1.413
9.633,1.876,-0.051,15.6,0.784,2.376,5.459,7.590,-5.237,-1.413
9.733,1.895,-0.045,15.7,0.714,2.315,5.459,7.590,-5.237,-1.413
9.833,1.914,-0.039,15.8,0.643,2.255,5.459,7.590,-5.237,-1.413
9.933,1.933,-0.034,15.8,0.572,2.194,5.459,7.590,-5.249,-1.392
10.033,1.953,-0.028,15.9,0.502,2.134,5.459,7.590,-5.285,-1.328
10.133,1.972,-0.023,15.9,0.431,2.073,5.459,7.590,-5.320,-1.264
10.233,1.992,-0.017,16.0,0.361,2.013,5.459,7.590,-5.355,-1.200
10.333,2.011,-0.011,16.0,0.290,1.952,5.459,7.590,-5.391,-1.136
10.433,2.031,-0.006,16.1,0.219,1.892,5.459,7.590,-5.426,-1.072
10.533,2.050,0.000,16.2,0.149,1.831,5.459,7.590,-5.462,-1.009
10.633,2.070,0.006,16.2,0.078,1.771,5.459,7.590,-5.497,-0.945
10.733,2.089,0.012,16.3,0.007,1.710,5.459,7.590,-5.533,-0.881
10.833,2.109,0.017,16.3,-0.063,1.650,5.459,7.590,-5.568,-0.817
10.933,2.128,0.023,16.4,-0.134,1.589,5.459,7.590,-5.603,-0.753
11.033,2.147,0.029,16.4,-0.205,1.529,5.459,7.590,-5.639,-0.689
11.133,2.167,0.035,16.5,-0.275,1.468,5.459,7.590,-5.674,-0.626
11.233,2.186,0.041,16.5,-0.346,1.408,5.459,7.590,-5.710,-0.562
11.333,2.205,0.046,16.6,-0.416,1.347,5.459,7.590,-5.745,-0.498
11.433,2.224,0.052,16.7,-0.487,1.287,5.459,7.590,-5.781,-0.434
11.533,2.243,0.058,16.8,-0.558,1.226,5.459,7.590,-5.816,-0.370
11.633,2.261,0.064,16.9,-0.628,1.166,5.529,7.508,-5.851,-0.306
11.733,2.279,0.070,17.1,-0.699,1.105,5.600,7.426,-5.887,-0.243
