mission,goal_x,goal_y,attempt,result,wall_s,epoch_start,epoch_end
adjacent-x,-6.22,-3.50,1,ABORTED,38.0,1785418087.8,1785418126.1
adjacent-x,-6.22,-3.50,2,ABORTED,38.2,1785418144.2,1785418182.4
adjacent-y,3.78,7.10,1,ABORTED,41.1,1785418185.4,1785418226.5
adjacent-y,3.78,7.10,2,ABORTED,32.6,1785418244.7,1785418277.3
diagonal,-5.77,6.32,1,ABORTED,52.7,1785418280.3,1785418333.0
diagonal,-5.77,6.32,2,ABORTED,42.2,1785418351.1,1785418393.3
home,0.00,0.00,1,SUCCEEDED,20.9,1785418396.3,1785418417.2
