# seed=20260723004 wall_start=2026-07-23 20:30:37
sim_t,x,y,yaw_deg
0.033,-0.000,-0.000,0.0
0.133,-0.000,-0.000,0.0
0.233,0.004,-0.000,-0.1
0.333,0.037,-0.003,-1.4
0.433,0.075,-0.007,-2.8
0.533,0.112,-0.012,-4.2
0.633,0.149,-0.017,-5.5
0.733,0.184,-0.023,-6.7
0.833,0.219,-0.029,-7.8
0.933,0.252,-0.036,-8.7
1.033,0.285,-0.043,-9.5
1.133,0.316,-0.049,-10.2
1.233,0.347,-0.056,-10.8
1.333,0.377,-0.063,-11.3
1.433,0.406,-0.070,-11.7
1.533,0.435,-0.076,-12.1
1.633,0.463,-0.083,-12.4
1.733,0.491,-0.090,-12.6
1.833,0.520,-0.098,-13.5
1.933,0.551,-0.108,-14.8
2.033,0.581,-0.119,-16.2
2.133,0.611,-0.131,-17.5
2.233,0.640,-0.143,-18.7
2.333,0.668,-0.154,-19.8
2.433,0.695,-0.166,-20.7
2.533,0.721,-0.178,-21.5
2.633,0.745,-0.189,-22.1
2.733,0.769,-0.199,-22.6
2.833,0.791,-0.209,-22.9
2.933,0.813,-0.219,-23.1
3.033,0.832,-0.226,-22.9
3.133,0.852,-0.235,-22.7
3.233,0.872,-0.242,-22.6
3.333,0.890,-0.249,-22.0
3.433,0.906,-0.253,-20.8
3.533,0.922,-0.256,-19.6
3.633,0.938,-0.260,-18.5
3.733,0.954,-0.263,-17.4
3.833,0.972,-0.267,-16.5
3.933,0.990,-0.270,-15.7
4.033,1.010,-0.276,-15.7
4.133,1.030,-0.281,-15.4
4.233,1.051,-0.286,-15.1
4.333,1.072,-0.293,-15.4
4.433,1.095,-0.299,-15.6
4.533,1.117,-0.307,-16.3
4.633,1.140,-0.315,-17.0
4.733,1.162,-0.323,-17.7
4.833,1.184,-0.332,-18.4
4.933,1.206,-0.340,-18.9
5.033,1.226,-0.348,-19.4
5.133,1.246,-0.356,-19.7
5.233,1.266,-0.363,-20.0
5.333,1.285,-0.371,-20.2
5.433,1.303,-0.378,-20.2
5.533,1.322,-0.385,-20.3
5.633,1.341,-0.391,-20.2
5.733,1.360,-0.398,-20.1
5.833,1.380,-0.405,-19.9
5.933,1.399,-0.412,-19.8
6.033,1.418,-0.418,-19.6
6.133,1.437,-0.424,-19.4
6.233,1.456,-0.431,-19.2
6.333,1.475,-0.437,-19.0
6.433,1.494,-0.443,-18.8
6.533,1.513,-0.449,-18.6
6.633,1.533,-0.455,-18.4
6.733,1.552,-0.461,-18.2
6.833,1.571,-0.467,-18.0
6.933,1.590,-0.473,-17.8
7.033,1.610,-0.479,-17.6
7.133,1.628,-0.484,-17.5
7.233,1.646,-0.490,-17.5
7.333,1.663,-0.495,-17.4
7.433,1.681,-0.501,-17.4
7.533,1.699,-0.506,-17.4
7.633,1.716,-0.512,-17.4
7.733,1.734,-0.517,-17.3
7.833,1.751,-0.522,-17.2
7.933,1.768,-0.527,-17.1
8.033,1.787,-0.533,-16.9
8.133,1.806,-0.538,-16.7
8.233,1.825,-0.544,-16.5
8.333,1.845,-0.549,-16.3
8.433,1.864,-0.554,-16.1
8.533,1.884,-0.559,-15.9
8.633,1.901,-0.564,-15.8
8.733,1.919,-0.569,-15.7
8.833,1.936,-0.574,-15.5
8.933,1.953,-0.578,-15.4
9.033,1.971,-0.583,-15.3
9.133,1.988,-0.587,-15.1
9.233,2.005,-0.591,-14.9
9.333,2.022,-0.595,-14.7
9.433,2.039,-0.599,-14.5
9.533,2.056,-0.603,-14.2
9.633,2.073,-0.607,-14.0
9.733,2.090,-0.611,-13.8
9.833,2.108,-0.615,-13.6
9.933,2.125,-0.619,-13.4
10.033,2.143,-0.622,-13.2
10.133,2.161,-0.626,-13.1
10.233,2.179,-0.630,-12.9
10.333,2.196,-0.634,-12.8
10.433,2.214,-0.638,-12.7
10.533,2.232,-0.642,-12.5
10.633,2.250,-0.645,-12.4
10.733,2.268,-0.649,-12.3
10.833,2.286,-0.653,-12.1
10.933,2.304,-0.656,-12.0
11.033,2.322,-0.660,-11.8
11.133,2.339,-0.663,-11.6
11.233,2.357,-0.666,-11.4
11.333,2.375,-0.669,-11.2
11.433,2.393,-0.672,-10.9
11.533,2.411,-0.675,-10.7
11.633,2.428,-0.678,-10.5
11.733,2.446,-0.681,-10.2
11.833,2.463,-0.683,-9.9
11.933,2.481,-0.686,-9.6
12.033,2.498,-0.688,-9.2
12.133,2.516,-0.690,-8.9
12.233,2.533,-0.692,-8.6
12.333,2.551,-0.695,-8.3
12.433,2.568,-0.696,-7.9
12.533,2.586,-0.698,-7.5
12.633,2.599,-0.697,-6.0
12.733,2.609,-0.692,-2.7
12.833,2.618,-0.686,0.6
12.933,2.627,-0.680,3.8
13.033,2.636,-0.674,7.0
13.133,2.644,-0.667,10.1
13.233,2.652,-0.660,13.2
13.333,2.660,-0.652,16.2
13.433,2.670,-0.643,19.3
13.533,2.699,-0.628,21.8
13.633,2.728,-0.612,23.8
13.733,2.752,-0.597,25.3
13.833,2.773,-0.585,26.7
13.933,2.796,-0.571,27.8
14.033,2.821,-0.555,28.8
14.133,2.846,-0.540,29.5
14.233,2.869,-0.525,30.1
14.333,2.891,-0.511,30.5
14.433,2.913,-0.498,30.7
14.533,2.933,-0.486,30.9
14.633,2.953,-0.473,31.0
14.733,2.973,-0.461,31.0
14.833,2.993,-0.450,30.9
14.933,3.012,-0.438,30.9
15.033,3.032,-0.427,30.8
15.133,3.051,-0.416,30.6
15.233,3.069,-0.405,30.4
15.333,3.088,-0.395,30.2
15.433,3.107,-0.385,29.9
15.533,3.125,-0.375,29.6
15.633,3.145,-0.363,29.6
15.733,3.166,-0.343,33.3
15.833,3.184,-0.319,38.4
15.933,3.200,-0.294,43.3
16.033,3.213,-0.267,48.2
16.133,3.226,-0.239,52.9
16.233,3.236,-0.206,58.5
16.333,3.243,-0.166,65.6
16.433,3.246,-0.128,71.8
16.533,3.252,-0.096,73.7
16.633,3.258,-0.069,74.3
16.733,3.264,-0.049,74.0
16.833,3.273,-0.025,73.1
16.933,3.286,0.007,71.5
17.033,3.301,0.039,69.9
17.133,3.316,0.070,68.2
17.233,3.332,0.101,66.6
17.333,3.348,0.131,65.1
17.433,3.364,0.159,63.8
17.533,3.381,0.187,62.6
17.633,3.398,0.215,61.6
17.733,3.413,0.240,60.8
17.833,3.428,0.264,60.2
17.933,3.442,0.286,59.7
18.033,3.455,0.307,59.4
18.133,3.467,0.328,59.3
18.233,3.479,0.347,59.2
18.333,3.491,0.367,59.1
18.433,3.502,0.386,59.2
18.533,3.513,0.405,59.2
18.633,3.524,0.423,59.3
18.733,3.535,0.442,59.3
18.833,3.546,0.461,59.4
18.933,3.558,0.480,59.4
19.033,3.569,0.499,59.5
19.133,3.580,0.518,59.5
19.233,3.591,0.536,59.5
19.333,3.602,0.555,59.6
19.433,3.612,0.574,59.6
19.533,3.623,0.592,59.8
19.633,3.633,0.611,59.9
19.733,3.643,0.629,60.1
19.833,3.654,0.647,60.2
19.933,3.664,0.666,60.4
20.033,3.674,0.684,60.5
20.133,3.684,0.703,60.6
20.233,3.695,0.722,60.7
20.333,3.706,0.741,60.7
20.433,3.716,0.760,60.7
20.533,3.727,0.779,60.8
20.633,3.737,0.798,60.8
20.733,3.748,0.817,60.8
20.833,3.758,0.836,60.9
20.933,3.769,0.855,60.9
21.033,3.779,0.874,61.0
21.133,3.789,0.893,61.1
21.233,3.799,0.911,61.3
21.333,3.809,0.930,61.4
21.433,3.819,0.948,61.6
21.533,3.829,0.967,61.7
21.633,3.838,0.986,61.8
21.733,3.848,1.004,62.0
21.833,3.858,1.023,62.1
21.933,3.868,1.043,62.1
22.033,3.878,1.062,62.1
22.133,3.888,1.081,62.2
22.233,3.898,1.100,62.2
22.333,3.909,1.120,62.2
22.433,3.919,1.139,62.2
22.533,3.928,1.158,62.4
22.633,3.938,1.176,62.5
22.733,3.947,1.195,62.6
22.833,3.957,1.214,62.8
22.933,3.966,1.233,62.9
23.033,3.975,1.251,63.0
23.133,3.984,1.270,63.2
23.233,3.994,1.289,63.3
23.333,4.003,1.308,63.4
23.433,4.012,1.327,63.6
23.533,4.021,1.346,63.7
23.633,4.031,1.366,63.7
23.733,4.041,1.385,63.7
23.833,4.050,1.405,63.7
23.933,4.060,1.425,63.7
24.033,4.070,1.444,63.8
24.133,4.079,1.463,63.9
24.233,4.088,1.482,64.0
24.333,4.097,1.501,64.1
24.433,4.106,1.520,64.3
24.533,4.115,1.539,64.4
24.633,4.123,1.558,64.5
24.733,4.132,1.577,64.6
24.833,4.141,1.596,64.7
24.933,4.150,1.615,64.9
25.033,4.158,1.634,65.0
