mission,goal_x,goal_y,attempt,result,wall_s,epoch_start,epoch_end
adjacent-x,-5.77,3.34,1,TIMEOUT,240.0,1785419778.8,1785420019.1
adjacent-x,-5.77,3.34,2,TIMEOUT,240.0,1785420037.5,1785420277.5
adjacent-y,4.83,-6.66,1,ABORTED,41.0,1785420280.5,1785420321.5
adjacent-y,4.83,-6.66,2,ABORTED,27.2,1785420341.5,1785420368.7
diagonal,-6.46,-6.36,1,ABORTED,40.2,1785420371.7,1785420412.0
diagonal,-6.46,-6.36,2,ABORTED,41.2,1785420432.0,1785420473.1
home,0.00,0.00,1,ABORTED,38.1,1785420476.2,1785420514.3
home,0.00,0.00,2,ABORTED,39.0,1785420532.5,1785420571.6
