# noise_v=0.03 noise_w=0.05 bias_w=0.0
ox,oy,oyaw,tx,ty,tyaw
-0.000,-0.000,0.000,-0.000,-0.000,0.000
0.004,-0.000,-0.002,0.004,-0.000,-0.002
0.034,-0.003,-0.027,0.034,-0.003,-0.027
0.068,-0.007,-0.055,0.068,-0.007,-0.055
0.102,-0.013,-0.083,0.101,-0.013,-0.083
0.135,-0.019,-0.110,0.136,-0.019,-0.109
0.172,-0.025,-0.132,0.172,-0.025,-0.130
0.209,-0.033,-0.151,0.209,-0.033,-0.149
0.246,-0.040,-0.168,0.247,-0.040,-0.165
0.281,-0.048,-0.180,0.282,-0.048,-0.177
0.317,-0.055,-0.189,0.317,-0.055,-0.186
0.351,-0.063,-0.198,0.351,-0.062,-0.195
0.375,-0.067,-0.193,0.374,-0.067,-0.190
0.386,-0.067,-0.170,0.385,-0.066,-0.167
0.396,-0.066,-0.143,0.395,-0.065,-0.141
0.411,-0.065,-0.121,0.411,-0.065,-0.119
0.425,-0.065,-0.099,0.425,-0.064,-0.096
0.446,-0.065,-0.085,0.446,-0.065,-0.082
0.459,-0.064,-0.065,0.459,-0.063,-0.062
0.474,-0.063,-0.046,0.473,-0.062,-0.045
0.488,-0.062,-0.030,0.488,-0.061,-0.028
0.504,-0.061,-0.015,0.504,-0.060,-0.014
0.521,-0.060,-0.002,0.520,-0.059,-0.001
0.537,-0.059,0.009,0.538,-0.058,0.010
0.555,-0.057,0.019,0.555,-0.056,0.020
0.574,-0.056,0.028,0.574,-0.055,0.029
0.592,-0.055,0.036,0.592,-0.054,0.037
0.612,-0.053,0.043,0.612,-0.052,0.044
0.632,-0.051,0.049,0.631,-0.051,0.051
0.652,-0.050,0.054,0.651,-0.049,0.056
0.672,-0.048,0.059,0.672,-0.047,0.061
0.693,-0.047,0.063,0.692,-0.045,0.065
0.713,-0.045,0.067,0.713,-0.044,0.070
0.734,-0.043,0.071,0.734,-0.042,0.073
0.755,-0.041,0.074,0.755,-0.040,0.076
0.777,-0.039,0.076,0.776,-0.038,0.078
0.799,-0.037,0.079,0.798,-0.036,0.081
0.820,-0.035,0.082,0.819,-0.034,0.084
0.841,-0.033,0.083,0.841,-0.032,0.085
0.863,-0.031,0.084,0.863,-0.030,0.086
0.885,-0.029,0.086,0.885,-0.028,0.088
0.907,-0.027,0.087,0.906,-0.026,0.089
0.928,-0.025,0.088,0.928,-0.024,0.090
0.950,-0.023,0.089,0.950,-0.022,0.091
0.971,-0.021,0.091,0.972,-0.020,0.093
0.993,-0.019,0.092,0.994,-0.017,0.094
1.015,-0.017,0.093,1.015,-0.015,0.095
1.036,-0.015,0.094,1.037,-0.013,0.096
1.059,-0.013,0.095,1.059,-0.011,0.098
1.080,-0.010,0.097,1.081,-0.008,0.099
1.101,-0.008,0.098,1.102,-0.006,0.100
1.123,-0.006,0.099,1.124,-0.004,0.101
1.148,-0.004,0.094,1.149,-0.002,0.096
1.172,-0.002,0.089,1.173,-0.000,0.091
1.196,-0.001,0.085,1.196,0.002,0.087
1.219,0.001,0.082,1.220,0.003,0.084
1.243,0.002,0.078,1.243,0.005,0.080
1.267,0.004,0.075,1.267,0.006,0.077
1.290,0.005,0.071,1.291,0.008,0.073
1.307,0.004,0.052,1.308,0.007,0.053
1.316,-0.004,-0.039,1.318,-0.002,-0.037
1.325,-0.016,-0.141,1.326,-0.013,-0.140
1.333,-0.027,-0.240,1.334,-0.025,-0.240
1.341,-0.039,-0.330,1.342,-0.037,-0.329
1.353,-0.042,-0.323,1.354,-0.040,-0.322
1.362,-0.043,-0.297,1.363,-0.040,-0.296
1.372,-0.041,-0.257,1.373,-0.039,-0.256
1.381,-0.039,-0.211,1.383,-0.036,-0.209
1.391,-0.036,-0.168,1.393,-0.034,-0.167
1.401,-0.034,-0.128,1.402,-0.031,-0.127
1.410,-0.029,-0.069,1.412,-0.026,-0.069
1.419,-0.034,-0.111,1.420,-0.031,-0.112
1.427,-0.044,-0.195,1.428,-0.041,-0.198
1.435,-0.053,-0.259,1.436,-0.050,-0.265
1.443,-0.061,-0.314,1.443,-0.058,-0.318
1.450,-0.068,-0.360,1.451,-0.065,-0.363
1.458,-0.075,-0.401,1.459,-0.073,-0.403
1.468,-0.084,-0.436,1.469,-0.081,-0.437
1.480,-0.093,-0.466,1.480,-0.090,-0.468
1.491,-0.102,-0.496,1.492,-0.100,-0.496
1.503,-0.112,-0.523,1.504,-0.110,-0.524
1.517,-0.123,-0.549,1.518,-0.121,-0.548
1.531,-0.134,-0.570,1.532,-0.132,-0.570
