# seed=20260723006 wall_start=2026-07-23 12:17:14
sim_t,x,y,yaw_deg
0.067,-0.000,-0.000,0.0
0.167,-0.000,-0.000,0.0
0.267,0.011,0.000,0.0
0.367,0.041,0.005,2.3
0.467,0.073,0.011,4.8
0.567,0.105,0.019,7.3
0.667,0.137,0.028,9.7
0.767,0.171,0.039,11.9
0.867,0.206,0.050,13.9
0.967,0.241,0.063,15.6
1.067,0.275,0.075,17.0
1.167,0.307,0.088,18.3
1.267,0.338,0.101,19.3
1.367,0.368,0.113,20.2
1.467,0.387,0.121,20.8
1.567,0.395,0.125,21.3
1.667,0.403,0.128,20.8
1.767,0.413,0.128,19.0
1.867,0.422,0.127,17.2
1.967,0.432,0.127,15.4
2.067,0.441,0.126,13.8
2.167,0.450,0.126,12.2
2.267,0.460,0.125,10.8
2.367,0.472,0.125,9.4
2.467,0.506,0.127,7.9
2.567,0.544,0.130,6.7
2.667,0.582,0.132,5.6
2.767,0.619,0.134,4.7
2.867,0.656,0.135,3.9
2.967,0.691,0.136,3.2
3.067,0.725,0.137,2.7
3.167,0.758,0.137,2.4
3.267,0.791,0.138,2.0
3.367,0.823,0.139,1.8
3.467,0.854,0.140,1.7
3.567,0.885,0.140,1.7
3.667,0.915,0.141,1.7
3.767,0.945,0.143,1.9
3.867,0.975,0.144,2.0
3.967,1.004,0.145,2.2
4.067,1.033,0.147,2.5
4.167,1.063,0.149,2.7
4.267,1.093,0.150,2.8
4.367,1.123,0.152,2.9
4.467,1.153,0.154,3.0
4.567,1.183,0.156,3.1
4.667,1.213,0.158,3.3
4.767,1.243,0.160,3.5
4.867,1.273,0.162,3.6
4.967,1.303,0.164,3.7
5.067,1.334,0.166,3.9
5.167,1.364,0.168,3.9
5.267,1.395,0.171,3.9
5.367,1.426,0.173,3.9
5.467,1.457,0.175,3.9
5.567,1.488,0.177,3.9
5.667,1.519,0.179,3.9
5.767,1.550,0.181,3.8
5.867,1.581,0.183,3.8
5.967,1.611,0.185,3.7
6.067,1.642,0.187,3.7
6.167,1.673,0.189,3.8
6.267,1.703,0.191,3.9
6.367,1.734,0.193,4.0
6.467,1.764,0.196,4.1
6.567,1.794,0.198,4.1
6.667,1.824,0.200,4.2
6.767,1.855,0.203,4.2
6.867,1.885,0.205,4.3
6.967,1.916,0.207,4.3
7.067,1.947,0.210,4.4
7.167,1.977,0.212,4.4
7.267,2.008,0.215,4.5
7.367,2.038,0.217,4.5
7.467,2.069,0.220,4.6
7.567,2.099,0.222,4.6
7.667,2.130,0.225,4.6
7.767,2.160,0.227,4.7
7.867,2.190,0.230,4.7
7.967,2.221,0.232,4.7
8.067,2.252,0.235,4.7
8.167,2.282,0.237,4.7
8.267,2.313,0.240,4.6
8.367,2.344,0.242,4.6
8.467,2.374,0.245,4.6
8.567,2.405,0.247,4.5
8.667,2.431,0.250,5.0
8.767,2.453,0.254,6.0
8.867,2.475,0.258,6.9
8.967,2.496,0.262,7.9
9.067,2.519,0.267,8.7
9.167,2.542,0.273,9.6
9.267,2.565,0.278,10.4
9.367,2.588,0.284,11.1
9.467,2.612,0.290,11.8
9.567,2.643,0.296,11.7
9.667,2.670,0.302,12.0
9.767,2.697,0.309,12.3
9.867,2.723,0.315,12.7
9.967,2.749,0.322,13.1
10.067,2.775,0.329,13.4
10.167,2.802,0.336,13.7
10.267,2.829,0.343,14.0
10.367,2.855,0.350,14.3
10.467,2.882,0.357,14.5
10.567,2.910,0.365,14.7
10.667,2.937,0.373,14.9
10.767,2.965,0.380,15.1
10.867,2.993,0.388,15.2
10.967,3.020,0.396,15.4
11.067,3.048,0.404,15.5
11.167,3.075,0.412,15.7
11.267,3.103,0.420,15.8
11.367,3.131,0.428,15.9
11.467,3.159,0.436,16.0
11.567,3.186,0.444,16.2
11.667,3.214,0.452,16.3
11.767,3.242,0.461,16.4
11.867,3.270,0.469,16.5
11.967,3.297,0.478,16.6
12.067,3.325,0.486,16.6
12.167,3.353,0.495,16.7
12.267,3.381,0.503,16.8
12.367,3.409,0.512,16.9
12.467,3.437,0.520,17.0
12.567,3.465,0.529,17.0
12.667,3.493,0.538,17.1
12.767,3.521,0.546,17.1
12.867,3.548,0.555,17.2
12.967,3.576,0.564,17.3
13.067,3.604,0.573,17.3
13.167,3.632,0.582,17.3
13.267,3.660,0.590,17.4
13.367,3.687,0.599,17.5
13.467,3.715,0.608,17.7
13.567,3.742,0.617,17.8
13.667,3.769,0.626,17.9
13.767,3.797,0.635,18.0
13.867,3.824,0.644,18.1
13.967,3.851,0.653,18.1
14.067,3.879,0.662,18.2
14.167,3.906,0.671,18.3
14.267,3.933,0.681,18.4
14.367,3.961,0.690,18.5
14.467,3.988,0.699,18.5
14.567,4.015,0.709,18.7
14.667,4.042,0.718,18.8
14.767,4.068,0.727,19.0
14.867,4.095,0.737,19.1
14.967,4.122,0.746,19.2
15.067,4.148,0.756,19.4
15.167,4.175,0.765,19.5
15.267,4.202,0.775,19.6
15.367,4.228,0.785,19.7
15.467,4.255,0.795,19.8
15.567,4.282,0.805,19.9
15.667,4.308,0.814,20.0
15.767,4.335,0.824,20.1
15.867,4.362,0.834,20.2
15.967,4.389,0.844,20.3
16.067,4.415,0.854,20.4
16.167,4.441,0.864,20.5
16.267,4.467,0.874,20.7
16.367,4.493,0.885,20.9
16.467,4.519,0.895,21.0
16.567,4.545,0.905,21.2
16.667,4.571,0.915,21.3
16.767,4.596,0.926,21.4
16.867,4.622,0.936,21.6
16.967,4.648,0.947,21.7
17.067,4.674,0.957,21.8
17.167,4.700,0.968,22.0
17.267,4.726,0.979,22.1
17.367,4.752,0.990,22.2
17.467,4.778,1.000,22.3
17.567,4.804,1.011,22.4
17.667,4.830,1.022,22.6
17.767,4.856,1.034,22.7
17.867,4.882,1.045,22.9
17.967,4.899,1.053,23.6
18.067,4.907,1.060,25.1
18.167,4.915,1.067,26.7
18.267,4.922,1.074,28.2
18.367,4.929,1.081,29.8
18.467,4.937,1.088,31.3
18.567,4.945,1.097,32.7
18.667,4.954,1.105,34.0
18.767,4.965,1.115,35.1
18.867,4.976,1.125,36.1
18.967,4.988,1.136,37.0
19.067,5.001,1.148,37.8
19.167,5.015,1.160,38.4
19.267,5.029,1.173,38.9
19.367,5.044,1.186,39.4
19.467,5.060,1.200,39.8
19.567,5.076,1.214,40.1
19.667,5.092,1.228,40.4
19.767,5.108,1.242,40.7
19.867,5.124,1.257,40.9
19.967,5.141,1.273,41.4
20.067,5.155,1.292,43.9
20.167,5.169,1.313,46.5
20.267,5.183,1.335,49.0
20.367,5.197,1.358,51.4
20.467,5.211,1.383,53.5
20.567,5.225,1.409,55.5
20.667,5.241,1.438,57.2
20.767,5.256,1.467,58.7
20.867,5.272,1.499,60.0
20.967,5.288,1.531,61.3
21.067,5.303,1.565,62.3
21.167,5.320,1.600,63.2
21.267,5.335,1.634,63.9
21.367,5.350,1.668,64.5
21.467,5.365,1.701,65.0
21.567,5.379,1.733,65.4
21.667,5.393,1.765,65.7
21.767,5.406,1.796,66.0
21.867,5.419,1.827,66.2
21.967,5.433,1.857,66.3
22.067,5.445,1.887,66.4
22.167,5.458,1.917,66.5
22.267,5.471,1.946,66.5
22.367,5.483,1.975,66.5
22.467,5.496,2.004,66.5
22.567,5.509,2.032,66.4
22.667,5.521,2.061,66.4
22.767,5.534,2.090,66.4
22.867,5.546,2.118,66.3
22.967,5.559,2.147,66.3
23.067,5.572,2.175,66.2
23.167,5.584,2.204,66.2
23.267,5.597,2.232,66.1
23.367,5.609,2.260,66.1
23.467,5.622,2.288,65.9
23.567,5.635,2.316,65.8
23.667,5.647,2.343,65.7
23.767,5.660,2.371,65.6
23.867,5.672,2.398,65.7
23.967,5.684,2.425,65.7
24.067,5.697,2.452,65.7
24.167,5.709,2.479,65.8
24.267,5.721,2.507,65.8
24.367,5.733,2.534,65.9
24.467,5.745,2.561,65.8
24.567,5.757,2.587,65.8
24.667,5.769,2.613,65.7
24.767,5.781,2.640,65.6
24.867,5.793,2.666,65.6
24.967,5.805,2.692,65.5
25.067,5.817,2.718,65.4
25.167,5.829,2.744,65.4
25.267,5.840,2.767,65.3
25.367,5.850,2.790,65.2
25.467,5.860,2.810,65.2
25.567,5.869,2.828,65.1
25.667,5.876,2.844,65.0
25.767,5.883,2.859,65.0
25.867,5.889,2.871,64.9
25.967,5.894,2.881,64.8
26.067,5.898,2.891,64.8
26.167,5.902,2.899,64.7
26.267,5.906,2.906,64.6
26.367,5.909,2.913,64.6
26.467,5.912,2.919,64.5
26.567,5.915,2.924,64.4
26.667,5.917,2.929,64.4
26.767,5.920,2.930,63.2
26.867,5.927,2.927,58.8
26.967,5.934,2.922,54.2
27.067,5.940,2.918,49.7
27.167,5.946,2.912,45.1
27.267,5.951,2.906,40.6
27.367,5.956,2.900,36.0
27.467,5.961,2.894,31.5
27.567,5.966,2.891,28.9
27.667,5.979,2.902,30.6
27.767,5.997,2.919,33.4
27.867,6.011,2.936,36.7
27.967,6.022,2.953,40.2
28.067,6.032,2.970,43.8
28.167,6.041,2.989,47.3
28.267,6.051,3.009,50.5
28.367,6.063,3.032,53.2
28.467,6.076,3.056,55.1
28.567,6.092,3.082,56.1
28.667,6.104,3.100,56.1
28.767,6.113,3.100,51.5
28.867,6.124,3.097,45.9
28.967,6.134,3.093,40.2
29.067,6.144,3.089,34.6
29.167,6.154,3.083,29.0
29.267,6.162,3.076,23.4
29.367,6.173,3.070,18.0
29.467,6.194,3.074,16.6
29.567,6.207,3.085,20.2
29.667,6.214,3.096,24.7
29.767,6.219,3.109,30.0
29.867,6.225,3.119,33.0
