# seed=20260723003 wall_start=2026-07-24 15:54:23 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
0.067,-0.000,-0.000,0.0,3.796,-7.619,-6.453,-7.664,8.489,4.981
0.167,-0.000,-0.000,0.0,3.869,-7.556,-6.420,-7.553,8.486,5.063
0.267,0.010,-0.000,-0.2,3.942,-7.493,-6.387,-7.442,8.483,5.145
0.367,0.035,-0.001,-0.5,4.015,-7.431,-6.354,-7.331,8.480,5.227
0.467,0.059,-0.002,-0.8,4.087,-7.368,-6.320,-7.220,8.478,5.309
0.567,0.083,-0.003,-1.1,4.160,-7.306,-6.287,-7.109,8.475,5.391
0.667,0.102,-0.004,-1.3,4.233,-7.243,-6.254,-6.998,8.472,5.473
0.767,0.121,-0.004,-1.4,4.306,-7.180,-6.221,-6.887,8.469,5.555
0.867,0.139,-0.005,-1.5,4.378,-7.118,-6.187,-6.775,8.466,5.637
0.967,0.155,-0.005,-1.5,4.451,-7.055,-6.154,-6.664,8.464,5.719
1.067,0.172,-0.006,-1.6,4.524,-6.992,-6.121,-6.553,8.461,5.801
1.167,0.185,-0.005,-0.9,4.597,-6.930,-6.087,-6.442,8.458,5.882
1.267,0.200,-0.005,-0.7,4.669,-6.867,-6.054,-6.331,8.455,5.964
1.367,0.216,-0.005,-0.7,4.742,-6.804,-6.021,-6.220,8.453,6.046
1.467,0.233,-0.005,-0.7,4.815,-6.742,-5.988,-6.109,8.450,6.128
1.567,0.250,-0.006,-0.8,4.888,-6.679,-5.954,-5.998,8.447,6.210
1.667,0.267,-0.006,-0.9,4.960,-6.617,-5.921,-5.886,8.444,6.292
1.767,0.284,-0.006,-0.9,5.033,-6.554,-5.888,-5.775,8.442,6.374
1.867,0.302,-0.007,-1.0,5.106,-6.491,-5.855,-5.664,8.439,6.456
1.967,0.317,-0.007,-0.8,5.179,-6.429,-5.821,-5.553,8.436,6.538
2.067,0.326,-0.005,0.4,5.251,-6.366,-5.788,-5.442,8.433,6.620
2.167,0.342,-0.004,0.5,5.324,-6.303,-5.755,-5.331,8.430,6.702
2.267,0.359,-0.004,0.5,5.397,-6.241,-5.722,-5.220,8.428,6.784
2.367,0.376,-0.003,1.0,5.470,-6.178,-5.688,-5.108,8.425,6.866
2.467,0.387,0.000,2.8,5.542,-6.115,-5.655,-4.997,8.422,6.948
2.567,0.396,0.004,4.6,5.615,-6.053,-5.622,-4.886,8.419,7.030
2.667,0.405,0.007,5.8,5.688,-5.990,-5.589,-4.775,8.417,7.112
2.767,0.420,0.015,9.0,5.761,-5.928,-5.555,-4.664,8.414,7.194
2.867,0.438,0.025,12.9,5.833,-5.865,-5.522,-4.553,8.411,7.276
2.967,0.450,0.031,14.5,5.906,-5.802,-5.489,-4.442,8.408,7.358
3.067,0.469,0.043,17.7,5.979,-5.740,-5.455,-4.331,8.406,7.440
3.167,0.486,0.053,19.9,6.052,-5.677,-5.422,-4.219,8.403,7.522
3.267,0.508,0.065,22.1,6.124,-5.614,-5.389,-4.108,8.400,7.603
3.367,0.533,0.081,24.7,6.197,-5.552,-5.356,-3.997,8.397,7.685
3.467,0.562,0.100,26.9,6.270,-5.489,-5.322,-3.886,8.394,7.767
3.567,0.593,0.120,28.8,6.343,-5.427,-5.289,-3.775,8.393,7.822
3.667,0.622,0.140,30.8,6.367,-5.406,-5.256,-3.664,8.393,7.822
3.767,0.653,0.163,32.4,6.367,-5.406,-5.223,-3.553,8.393,7.822
3.867,0.682,0.185,33.8,6.367,-5.406,-5.189,-3.442,8.393,7.822
3.967,0.710,0.207,35.0,6.367,-5.406,-5.173,-3.386,8.393,7.822
4.067,0.737,0.228,35.9,6.367,-5.406,-5.173,-3.386,8.393,7.822
4.167,0.762,0.249,37.2,6.367,-5.406,-5.173,-3.386,8.393,7.822
4.267,0.786,0.270,38.3,6.367,-5.406,-5.173,-3.386,8.393,7.822
4.367,0.809,0.290,38.8,6.367,-5.406,-5.173,-3.386,8.393,7.822
4.467,0.832,0.309,39.3,6.367,-5.406,-5.173,-3.386,8.393,7.822
4.567,0.854,0.329,39.8,6.367,-5.406,-5.173,-3.386,8.393,7.822
4.667,0.877,0.350,40.6,6.367,-5.406,-5.173,-3.386,8.393,7.822
4.767,0.897,0.368,40.8,6.367,-5.406,-5.173,-3.386,8.393,7.822
4.867,0.917,0.385,40.8,6.367,-5.406,-5.173,-3.386,8.393,7.822
4.967,0.937,0.403,40.8,6.367,-5.406,-5.173,-3.386,8.393,7.822
5.067,0.956,0.419,40.8,6.367,-5.406,-5.173,-3.386,8.393,7.822
5.167,0.976,0.436,40.8,6.367,-5.406,-5.173,-3.386,8.393,7.822
5.267,0.996,0.455,41.3,6.367,-5.406,-5.173,-3.386,8.393,7.822
5.367,1.015,0.471,41.2,6.367,-5.406,-5.173,-3.386,8.393,7.822
5.467,1.033,0.487,41.0,6.367,-5.406,-5.173,-3.386,8.393,7.822
5.567,1.052,0.503,40.9,6.367,-5.406,-5.173,-3.386,8.393,7.822
