# seed=20260723018 wall_start=2026-07-23 16:17:53
sim_t,x,y,yaw_deg
0.100,-0.000,-0.000,0.0
0.200,-0.000,-0.000,0.0
0.300,0.003,-0.003,-1.5
0.400,0.012,-0.010,-5.6
0.500,0.021,-0.019,-9.7
0.600,0.028,-0.027,-13.5
0.700,0.036,-0.036,-16.9
0.800,0.043,-0.043,-19.7
0.900,0.050,-0.050,-22.0
1.000,0.058,-0.058,-24.3
1.100,0.064,-0.068,-28.0
1.200,0.069,-0.078,-31.5
1.300,0.073,-0.088,-34.7
1.400,0.078,-0.097,-37.7
1.500,0.082,-0.107,-40.3
1.600,0.086,-0.116,-42.6
1.700,0.090,-0.125,-44.6
1.800,0.094,-0.133,-46.3
1.900,0.098,-0.141,-47.7
2.000,0.103,-0.149,-48.8
2.100,0.107,-0.157,-49.8
2.200,0.113,-0.166,-50.7
2.300,0.120,-0.177,-51.4
2.400,0.127,-0.188,-52.0
2.500,0.135,-0.200,-52.5
2.600,0.147,-0.216,-52.9
2.700,0.168,-0.240,-51.8
2.800,0.192,-0.265,-50.1
2.900,0.216,-0.289,-48.4
3.000,0.242,-0.312,-46.6
3.100,0.268,-0.335,-44.9
3.200,0.293,-0.355,-43.6
3.300,0.303,-0.366,-44.0
3.400,0.311,-0.376,-44.7
3.500,0.318,-0.384,-45.4
3.600,0.324,-0.392,-46.4
3.700,0.328,-0.400,-47.4
3.800,0.333,-0.408,-48.4
3.900,0.338,-0.417,-49.4
4.000,0.344,-0.426,-50.2
4.100,0.350,-0.435,-51.0
4.200,0.356,-0.445,-51.7
4.300,0.363,-0.456,-52.3
4.400,0.373,-0.470,-52.8
4.500,0.396,-0.497,-51.7
4.600,0.421,-0.523,-50.2
4.700,0.447,-0.550,-48.8
4.800,0.473,-0.575,-47.4
4.900,0.500,-0.599,-45.9
5.000,0.521,-0.619,-45.3
5.100,0.532,-0.632,-45.9
5.200,0.539,-0.641,-46.6
5.300,0.545,-0.650,-47.4
5.400,0.551,-0.658,-48.3
5.500,0.556,-0.666,-49.2
5.600,0.561,-0.675,-50.0
5.700,0.568,-0.685,-50.7
5.800,0.582,-0.703,-51.2
5.900,0.607,-0.732,-50.1
6.000,0.634,-0.759,-48.9
6.100,0.661,-0.786,-47.6
6.200,0.680,-0.805,-47.1
6.300,0.687,-0.815,-47.8
6.400,0.692,-0.823,-48.6
6.500,0.697,-0.831,-49.5
6.600,0.703,-0.840,-50.3
6.700,0.709,-0.849,-51.1
6.800,0.720,-0.865,-51.9
6.900,0.735,-0.886,-52.1
7.000,0.760,-0.914,-51.0
7.100,0.786,-0.942,-49.9
7.200,0.812,-0.970,-48.7
7.300,0.839,-0.996,-47.5
7.400,0.866,-1.022,-46.5
7.500,0.883,-1.040,-46.3
7.600,0.889,-1.048,-47.1
7.700,0.894,-1.056,-48.0
7.800,0.899,-1.064,-48.9
7.900,0.903,-1.071,-50.0
8.000,0.907,-1.079,-51.0
8.100,0.912,-1.087,-51.9
8.200,0.916,-1.096,-52.7
8.300,0.927,-1.112,-53.4
8.400,0.949,-1.140,-52.6
8.500,0.972,-1.167,-51.7
8.600,0.997,-1.194,-50.6
8.700,1.022,-1.221,-49.6
8.800,1.044,-1.245,-48.9
8.900,1.070,-1.271,-47.9
9.000,1.086,-1.289,-48.0
9.100,1.100,-1.306,-48.4
9.200,1.113,-1.322,-48.9
9.300,1.125,-1.338,-49.5
9.400,1.137,-1.353,-50.2
9.500,1.148,-1.369,-50.9
9.600,1.159,-1.385,-51.5
9.700,1.171,-1.401,-52.1
9.800,1.183,-1.418,-52.6
9.900,1.195,-1.435,-53.1
10.000,1.207,-1.453,-53.4
10.100,1.219,-1.471,-53.8
10.200,1.231,-1.489,-54.2
10.300,1.244,-1.507,-54.4
10.400,1.257,-1.526,-54.7
10.500,1.270,-1.545,-54.9
10.600,1.283,-1.564,-55.1
10.700,1.296,-1.583,-55.3
10.800,1.309,-1.602,-55.4
10.900,1.322,-1.622,-55.5
11.000,1.335,-1.641,-55.7
11.100,1.348,-1.661,-55.8
11.200,1.361,-1.680,-55.9
11.300,1.374,-1.700,-56.0
11.400,1.387,-1.720,-56.1
11.500,1.401,-1.740,-56.0
11.600,1.423,-1.767,-54.3
11.700,1.446,-1.793,-52.5
11.800,1.470,-1.818,-50.7
11.900,1.490,-1.839,-49.9
12.000,1.500,-1.852,-50.3
12.100,1.506,-1.861,-51.0
