mission,goal_x,goal_y,result,wall_s,epoch_start,epoch_end
adjacent-x,7.24,-3.84,SUCCEEDED,119.4,1785329963.8,1785330083.5
adjacent-y,-2.16,7.36,ABORTED,61.4,1785330086.5,1785330147.9
diagonal,7.24,7.36,ABORTED,39.7,1785330150.9,1785330190.6
home,0.00,0.00,ABORTED,39.5,1785330193.6,1785330233.1
