# noise_v=0.03 noise_w=0.05 bias_w=0.0
ox,oy,oyaw,tx,ty,tyaw
0.000,-0.000,0.000,-0.000,-0.000,0.000
-0.000,-0.000,0.000,-0.000,-0.000,0.000
0.013,-0.001,-0.007,0.012,-0.001,-0.008
0.050,-0.004,-0.032,0.049,-0.004,-0.032
0.087,-0.008,-0.056,0.087,-0.008,-0.056
0.124,-0.013,-0.081,0.124,-0.013,-0.081
0.160,-0.019,-0.105,0.161,-0.019,-0.105
0.194,-0.025,-0.125,0.196,-0.025,-0.125
0.227,-0.032,-0.143,0.230,-0.032,-0.143
0.260,-0.038,-0.156,0.262,-0.038,-0.157
0.291,-0.044,-0.169,0.294,-0.045,-0.170
0.322,-0.051,-0.180,0.325,-0.051,-0.181
0.354,-0.060,-0.203,0.357,-0.060,-0.204
0.386,-0.069,-0.227,0.389,-0.070,-0.228
0.418,-0.080,-0.253,0.420,-0.080,-0.253
0.447,-0.090,-0.274,0.450,-0.090,-0.274
0.475,-0.100,-0.291,0.479,-0.101,-0.293
0.504,-0.111,-0.309,0.507,-0.111,-0.310
0.532,-0.122,-0.326,0.535,-0.122,-0.326
0.559,-0.133,-0.339,0.563,-0.133,-0.340
0.586,-0.143,-0.351,0.589,-0.144,-0.352
0.611,-0.154,-0.361,0.614,-0.154,-0.361
0.634,-0.164,-0.369,0.638,-0.165,-0.370
0.657,-0.173,-0.376,0.661,-0.175,-0.377
0.679,-0.183,-0.382,0.684,-0.184,-0.382
0.702,-0.193,-0.387,0.706,-0.194,-0.388
0.724,-0.202,-0.391,0.728,-0.203,-0.392
0.745,-0.211,-0.394,0.749,-0.212,-0.395
0.766,-0.220,-0.397,0.770,-0.221,-0.397
0.786,-0.229,-0.398,0.790,-0.230,-0.399
0.804,-0.235,-0.385,0.808,-0.236,-0.386
0.824,-0.243,-0.383,0.828,-0.244,-0.383
0.842,-0.249,-0.379,0.846,-0.251,-0.378
0.855,-0.251,-0.350,0.859,-0.253,-0.350
0.865,-0.250,-0.310,0.869,-0.252,-0.310
0.881,-0.253,-0.289,0.885,-0.254,-0.290
0.899,-0.257,-0.273,0.903,-0.258,-0.273
