mission,goal_x,goal_y,attempt,result,wall_s,epoch_start,epoch_end
adjacent-x,-7.82,-2.69,1,ABORTED,93.9,1785416054.4,1785416148.6
adjacent-x,-7.82,-2.69,2,ABORTED,73.0,1785416168.6,1785416241.6
adjacent-y,3.08,7.31,1,ABORTED,63.3,1785416244.6,1785416307.9
adjacent-y,3.08,7.31,2,ABORTED,63.3,1785416328.0,1785416391.3
diagonal,-7.22,7.31,1,ABORTED,65.2,1785416392.5,1785416457.7
diagonal,-7.22,7.31,2,ABORTED,66.1,1785416477.8,1785416543.9
home,0.00,0.00,1,ABORTED,64.6,1785416546.9,1785416611.4
home,0.00,0.00,2,ABORTED,72.4,1785416631.4,1785416703.9
