# seed=20260723014 wall_start=2026-07-26 18:37:55 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
0.067,-0.000,-0.000,0.0,-1.572,2.465,-7.467,2.732,-1.400,-4.534
0.167,-0.000,-0.000,0.0,-1.496,2.415,-7.361,2.737,-1.421,-4.602
0.267,0.012,-0.001,-0.4,-1.419,2.366,-7.255,2.742,-1.442,-4.670
0.367,0.046,-0.004,-1.9,-1.343,2.316,-7.149,2.746,-1.463,-4.738
0.467,0.079,-0.008,-3.4,-1.267,2.266,-7.043,2.751,-1.484,-4.805
0.567,0.113,-0.014,-4.9,-1.191,2.217,-6.938,2.756,-1.505,-4.873
0.667,0.146,-0.020,-6.6,-1.114,2.167,-6.832,2.761,-1.526,-4.941
0.767,0.178,-0.026,-7.9,-1.038,2.117,-6.726,2.765,-1.546,-5.009
0.867,0.208,-0.033,-9.3,-0.962,2.068,-6.620,2.770,-1.567,-5.077
0.967,0.239,-0.037,-8.7,-0.886,2.018,-6.514,2.775,-1.588,-5.145
1.067,0.271,-0.040,-7.6,-0.809,1.968,-6.408,2.779,-1.609,-5.213
1.167,0.306,-0.042,-6.2,-0.733,1.919,-6.302,2.784,-1.630,-5.280
1.267,0.340,-0.043,-4.9,-0.657,1.869,-6.196,2.789,-1.651,-5.348
1.367,0.374,-0.043,-3.6,-0.581,1.819,-6.090,2.794,-1.672,-5.416
1.467,0.407,-0.043,-2.5,-0.505,1.770,-5.985,2.798,-1.692,-5.484
1.567,0.439,-0.042,-1.6,-0.428,1.720,-5.879,2.803,-1.713,-5.552
1.667,0.471,-0.041,-0.6,-0.352,1.670,-5.773,2.808,-1.734,-5.620
1.767,0.502,-0.043,-1.2,-0.276,1.621,-5.667,2.812,-1.755,-5.688
1.867,0.533,-0.046,-2.4,-0.200,1.571,-5.561,2.817,-1.776,-5.756
1.967,0.566,-0.050,-3.8,-0.123,1.521,-5.455,2.822,-1.797,-5.823
2.067,0.598,-0.055,-5.2,-0.047,1.472,-5.349,2.826,-1.818,-5.891
2.167,0.631,-0.058,-4.9,0.029,1.422,-5.243,2.831,-1.838,-5.959
2.267,0.662,-0.061,-5.3,0.105,1.372,-5.137,2.836,-1.859,-6.027
2.367,0.692,-0.066,-6.5,0.182,1.322,-5.031,2.841,-1.880,-6.095
2.467,0.722,-0.069,-6.0,0.258,1.273,-4.926,2.845,-1.901,-6.163
2.567,0.751,-0.074,-6.9,0.334,1.223,-4.820,2.850,-1.922,-6.231
2.667,0.781,-0.077,-6.8,0.410,1.173,-4.714,2.855,-1.943,-6.298
2.767,0.813,-0.079,-5.9,0.487,1.124,-4.608,2.859,-1.964,-6.366
2.867,0.845,-0.080,-5.0,0.563,1.074,-4.502,2.864,-1.984,-6.434
2.967,0.877,-0.081,-3.8,0.639,1.024,-4.449,2.866,-2.005,-6.502
3.067,0.909,-0.081,-2.8,0.715,0.975,-4.449,2.866,-2.026,-6.570
3.167,0.940,-0.081,-2.0,0.792,0.925,-4.449,2.866,-2.047,-6.638
3.267,0.971,-0.081,-1.6,0.868,0.875,-4.449,2.866,-2.068,-6.706
3.367,1.000,-0.084,-2.7,0.944,0.826,-4.449,2.866,-2.089,-6.774
3.467,1.030,-0.088,-3.9,1.020,0.776,-4.449,2.866,-2.110,-6.841
3.567,1.061,-0.093,-5.3,1.097,0.726,-4.449,2.866,-2.130,-6.909
3.667,1.092,-0.098,-6.6,1.173,0.677,-4.449,2.866,-2.151,-6.977
3.767,1.122,-0.104,-7.7,1.249,0.627,-4.449,2.866,-2.172,-7.045
3.867,1.151,-0.108,-7.7,1.325,0.577,-4.449,2.866,-2.193,-7.113
3.967,1.182,-0.111,-7.0,1.402,0.528,-4.449,2.866,-2.214,-7.181
4.067,1.213,-0.113,-6.3,1.478,0.478,-4.449,2.866,-2.235,-7.249
4.167,1.245,-0.114,-5.2,1.554,0.428,-4.449,2.866,-2.256,-7.317
4.267,1.277,-0.115,-4.1,1.630,0.378,-4.449,2.866,-2.276,-7.384
4.367,1.309,-0.115,-3.1,1.656,0.362,-4.449,2.866,-2.297,-7.452
4.467,1.340,-0.119,-4.1,1.656,0.362,-4.449,2.866,-2.318,-7.520
4.567,1.370,-0.127,-7.1,1.656,0.362,-4.449,2.866,-2.339,-7.588
4.667,1.399,-0.139,-11.1,1.656,0.362,-4.449,2.866,-2.360,-7.656
4.767,1.426,-0.153,-15.6,1.656,0.362,-4.449,2.866,-2.381,-7.724
4.867,1.451,-0.171,-20.7,1.656,0.362,-4.449,2.866,-2.402,-7.792
4.967,1.477,-0.189,-24.1,1.656,0.362,-4.449,2.866,-2.422,-7.859
5.067,1.506,-0.208,-26.8,1.656,0.362,-4.449,2.866,-2.443,-7.927
5.167,1.537,-0.229,-29.2,1.656,0.362,-4.449,2.866,-2.464,-7.995
5.267,1.565,-0.252,-32.4,1.656,0.362,-4.449,2.866,-2.485,-8.063
5.367,1.590,-0.282,-38.0,1.656,0.362,-4.449,2.866,-2.506,-8.131
5.467,1.612,-0.313,-43.0,1.656,0.362,-4.449,2.866,-2.527,-8.199
5.567,1.635,-0.340,-44.8,1.656,0.362,-4.449,2.866,-2.548,-8.267
5.667,1.657,-0.364,-45.5,1.656,0.362,-4.449,2.866,-2.568,-8.335
5.767,1.676,-0.385,-45.8,1.656,0.362,-4.449,2.866,-2.589,-8.402
5.867,1.693,-0.402,-45.6,1.656,0.362,-4.449,2.866,-2.648,-8.405
5.967,1.710,-0.417,-45.1,1.656,0.362,-4.483,2.875,-2.719,-8.407
6.067,1.725,-0.431,-44.6,1.656,0.362,-4.586,2.899,-2.790,-8.410
6.167,1.741,-0.445,-43.9,1.656,0.362,-4.690,2.924,-2.861,-8.412
6.267,1.757,-0.459,-43.3,1.656,0.362,-4.793,2.949,-2.932,-8.415
6.367,1.773,-0.472,-42.7,1.656,0.362,-4.896,2.974,-3.003,-8.418
6.467,1.790,-0.486,-42.2,1.656,0.362,-4.999,2.998,-3.074,-8.420
6.567,1.807,-0.500,-41.7,1.656,0.362,-5.102,3.023,-3.145,-8.423
6.667,1.824,-0.514,-41.3,1.656,0.362,-5.205,3.048,-3.216,-8.426
6.767,1.842,-0.529,-40.9,1.656,0.362,-5.308,3.072,-3.287,-8.428
