mission,goal_x,goal_y,attempt,result,wall_s,epoch_start,epoch_end
adjacent-x,7.52,4.13,1,ABORTED,104.1,1785488036.4,1785488140.7
adjacent-x,7.52,4.13,2,ABORTED,75.0,1785488160.7,1785488235.7
adjacent-y,-3.03,-6.54,1,ABORTED,72.0,1785488238.7,1785488310.7
adjacent-y,-3.03,-6.54,2,ABORTED,71.0,1785488330.7,1785488401.7
diagonal,5.93,-5.63,1,ABORTED,70.0,1785488404.7,1785488474.7
diagonal,5.93,-5.63,2,ABORTED,70.0,1785488494.7,1785488564.7
home,0.00,0.00,1,ABORTED,75.0,1785488567.7,1785488642.7
home,0.00,0.00,2,ABORTED,75.0,1785488662.7,1785488737.7
