mission,goal_x,goal_y,attempt,result,wall_s,epoch_start,epoch_end
adjacent-x,7.05,3.58,1,ABORTED,58.6,1785484516.2,1785484574.9
adjacent-x,7.05,3.58,2,ABORTED,75.0,1785484594.9,1785484669.8
adjacent-y,-2.65,-6.42,1,ABORTED,75.0,1785484672.8,1785484747.8
adjacent-y,-2.65,-6.42,2,ABORTED,75.0,1785484767.8,1785484842.8
diagonal,7.35,-6.12,1,ABORTED,75.0,1785484845.8,1785484920.8
diagonal,7.35,-6.12,2,ABORTED,75.0,1785484940.8,1785485015.8
home,0.00,0.00,1,SUCCEEDED,23.8,1785485018.8,1785485042.6
