mission,goal_x,goal_y,attempt,result,wall_s,epoch_start,epoch_end
adjacent-x,-6.13,2.81,1,TIMEOUT,240.0,1785497162.6,1785497402.9
adjacent-x,-6.13,2.81,2,TIMEOUT,240.0,1785497422.9,1785497662.9
adjacent-y,2.67,-6.67,1,TIMEOUT,240.0,1785497665.9,1785497905.9
adjacent-y,2.67,-6.67,2,TIMEOUT,240.0,1785497925.9,1785498165.9
diagonal,-7.03,-7.19,1,ABORTED,36.6,1785498168.9,1785498205.6
diagonal,-7.03,-7.19,2,ABORTED,39.0,1785498225.6,1785498264.6
home,0.00,0.00,1,ABORTED,9.1,1785498267.6,1785498276.7
home,0.00,0.00,2,ABORTED,28.9,1785498296.7,1785498325.6
