mission,goal_x,goal_y,attempt,result,wall_s,epoch_start,epoch_end
adjacent-x,6.18,-3.25,1,SUCCEEDED,61.8,1785500475.7,1785500537.7
adjacent-y,-3.82,7.65,1,ABORTED,45.7,1785500540.7,1785500586.4
adjacent-y,-3.82,7.65,2,ABORTED,66.7,1785500606.4,1785500673.2
diagonal,7.08,6.75,1,SUCCEEDED,90.3,1785500676.2,1785500766.4
home,0.00,0.00,1,ABORTED,40.0,1785500769.4,1785500809.5
home,0.00,0.00,2,ABORTED,9.6,1785500829.5,1785500839.1
