# seed=20260723016 wall_start=2026-07-23 15:37:48
sim_t,x,y,yaw_deg
0.067,-0.000,-0.000,0.0
0.167,-0.000,-0.000,0.0
0.267,0.002,-0.001,-0.4
0.367,0.026,-0.004,-2.0
0.467,0.056,-0.007,-3.0
0.567,0.086,-0.011,-4.0
0.667,0.115,-0.015,-5.0
0.767,0.143,-0.019,-5.9
0.867,0.170,-0.024,-6.6
0.967,0.196,-0.028,-7.3
1.067,0.221,-0.032,-7.8
1.167,0.244,-0.036,-7.9
1.267,0.265,-0.039,-7.9
1.367,0.279,-0.038,-6.5
1.467,0.292,-0.037,-5.1
1.567,0.306,-0.036,-3.9
1.667,0.318,-0.034,-2.4
1.767,0.331,-0.031,-0.9
1.867,0.345,-0.029,0.4
1.967,0.359,-0.027,1.7
2.067,0.375,-0.024,2.9
2.167,0.392,-0.021,3.8
2.267,0.410,-0.018,4.7
2.367,0.430,-0.015,5.3
2.467,0.451,-0.013,5.7
2.567,0.475,-0.010,5.7
2.667,0.497,-0.008,6.0
2.767,0.519,-0.004,6.4
2.867,0.542,-0.001,6.6
2.967,0.566,0.002,6.7
3.067,0.591,0.004,6.6
3.167,0.614,0.008,6.9
3.267,0.638,0.011,7.0
3.367,0.662,0.014,7.1
3.467,0.685,0.017,7.3
3.567,0.709,0.021,7.5
3.667,0.735,0.023,7.2
3.767,0.760,0.026,7.0
3.867,0.784,0.029,7.1
3.967,0.808,0.033,7.2
4.067,0.833,0.036,7.3
4.167,0.857,0.039,7.4
4.267,0.881,0.042,7.5
4.367,0.905,0.046,7.6
4.467,0.928,0.049,7.7
4.567,0.955,0.052,7.2
4.667,0.980,0.055,7.0
4.767,1.004,0.058,7.1
4.867,1.029,0.061,7.2
4.967,1.052,0.064,7.4
5.067,1.075,0.068,7.6
5.167,1.099,0.071,7.7
5.267,1.122,0.075,7.9
5.367,1.146,0.078,8.1
5.467,1.169,0.082,8.3
5.567,1.192,0.086,8.5
5.667,1.218,0.089,8.2
5.767,1.243,0.092,8.0
5.867,1.267,0.096,8.1
5.967,1.292,0.099,8.2
6.067,1.316,0.103,8.2
6.167,1.340,0.107,8.3
6.267,1.363,0.110,8.3
6.367,1.387,0.114,8.4
6.467,1.411,0.117,8.5
6.567,1.435,0.121,8.5
6.667,1.459,0.125,8.6
6.767,1.482,0.128,8.6
6.867,1.506,0.132,8.7
6.967,1.530,0.136,8.8
7.067,1.548,0.140,9.6
7.167,1.560,0.146,11.4
7.267,1.571,0.151,13.1
7.367,1.583,0.157,14.8
7.467,1.594,0.163,16.4
7.567,1.606,0.170,18.0
7.667,1.619,0.177,19.5
7.767,1.633,0.185,20.7
7.867,1.647,0.192,21.8
7.967,1.661,0.200,22.8
8.067,1.675,0.208,23.5
8.167,1.690,0.215,24.2
8.267,1.703,0.222,24.7
8.367,1.718,0.230,25.1
8.467,1.740,0.241,25.5
8.567,1.762,0.252,25.8
8.667,1.784,0.263,26.1
8.767,1.806,0.275,26.3
8.867,1.829,0.287,26.5
8.967,1.852,0.298,26.7
9.067,1.875,0.310,26.8
9.167,1.898,0.322,26.9
9.267,1.922,0.335,27.0
9.367,1.945,0.347,27.2
9.467,1.968,0.359,27.3
9.567,1.992,0.371,27.4
9.667,2.015,0.384,27.5
9.767,2.038,0.396,27.6
9.867,2.062,0.411,28.9
9.967,2.083,0.430,32.0
10.067,2.104,0.450,35.1
10.167,2.124,0.472,38.2
10.267,2.142,0.494,41.0
10.367,2.160,0.517,43.6
10.467,2.179,0.542,45.9
10.567,2.200,0.568,47.8
10.667,2.222,0.597,49.2
10.767,2.244,0.627,50.4
10.867,2.265,0.655,51.3
10.967,2.287,0.682,51.1
11.067,2.312,0.707,49.4
11.167,2.339,0.733,47.4
11.267,2.368,0.757,45.2
11.367,2.398,0.781,43.1
11.467,2.428,0.803,41.0
11.567,2.457,0.823,39.2
11.667,2.487,0.842,37.4
11.767,2.516,0.861,35.9
11.867,2.547,0.880,34.7
11.967,2.579,0.899,33.5
12.067,2.611,0.918,32.7
12.167,2.641,0.936,32.0
12.267,2.671,0.952,31.3
12.367,2.700,0.970,31.0
12.467,2.729,0.986,30.8
12.567,2.756,1.002,30.5
12.667,2.784,1.018,30.4
12.767,2.811,1.034,30.4
12.867,2.838,1.050,30.4
12.967,2.865,1.066,30.5
13.067,2.891,1.082,30.5
13.167,2.918,1.097,30.6
13.267,2.944,1.113,30.6
13.367,2.971,1.129,30.7
13.467,2.997,1.145,30.8
13.567,3.023,1.161,31.0
13.667,3.049,1.177,31.1
13.767,3.076,1.193,31.2
13.867,3.102,1.209,31.3
13.967,3.128,1.225,31.5
14.067,3.154,1.241,31.6
14.167,3.180,1.258,31.7
14.267,3.206,1.274,31.8
14.367,3.233,1.291,31.9
14.467,3.259,1.308,32.0
14.567,3.286,1.324,32.0
14.667,3.312,1.341,32.1
14.767,3.338,1.358,32.2
14.867,3.365,1.374,32.2
14.967,3.391,1.391,32.4
15.067,3.417,1.408,32.5
15.167,3.443,1.425,32.6
15.267,3.469,1.442,32.8
15.367,3.495,1.459,32.9
15.467,3.521,1.476,33.0
15.567,3.547,1.493,33.1
15.667,3.573,1.511,33.2
15.767,3.600,1.528,33.3
15.867,3.626,1.545,33.3
15.967,3.652,1.563,33.4
16.067,3.678,1.580,33.5
16.167,3.704,1.598,33.6
16.267,3.730,1.615,33.6
16.367,3.756,1.633,33.7
16.467,3.782,1.650,33.9
16.567,3.808,1.668,34.0
16.667,3.834,1.686,34.1
16.767,3.860,1.703,34.2
16.867,3.886,1.721,34.3
16.967,3.912,1.739,34.3
17.067,3.937,1.757,34.4
17.167,3.963,1.775,34.5
17.267,3.989,1.793,34.6
17.367,4.015,1.811,34.8
17.467,4.040,1.829,34.9
17.567,4.066,1.847,35.0
17.667,4.092,1.865,35.1
17.767,4.117,1.884,35.2
17.867,4.143,1.902,35.3
17.967,4.168,1.921,35.4
18.067,4.194,1.939,35.5
18.167,4.219,1.957,35.7
18.267,4.245,1.976,35.8
18.367,4.270,1.995,35.9
18.467,4.295,2.013,36.1
18.567,4.321,2.032,36.2
18.667,4.346,2.051,36.3
18.767,4.371,2.070,36.5
18.867,4.393,2.087,36.6
18.967,4.406,2.088,33.0
19.067,4.423,2.090,29.1
19.167,4.450,2.104,29.1
19.267,4.469,2.114,28.4
19.367,4.481,2.112,24.2
19.467,4.491,2.111,21.9
19.567,4.500,2.111,20.0
19.667,4.510,2.111,18.0
19.767,4.520,2.110,15.6
19.867,4.532,2.102,10.0
19.967,4.543,2.093,4.0
20.067,4.553,2.083,-1.8
20.167,4.562,2.073,-7.2
20.267,4.570,2.062,-12.3
20.367,4.577,2.051,-17.3
20.467,4.588,2.040,-21.5
20.567,4.603,2.026,-25.0
20.667,4.622,2.011,-27.8
20.767,4.647,1.993,-29.8
20.867,4.674,1.974,-31.4
20.967,4.704,1.953,-32.6
21.067,4.734,1.931,-33.3
21.167,4.763,1.911,-33.8
21.267,4.791,1.892,-34.1
21.367,4.817,1.873,-34.2
21.467,4.844,1.855,-34.3
21.567,4.869,1.838,-34.3
21.667,4.895,1.821,-34.2
21.767,4.920,1.804,-34.1
21.867,4.946,1.787,-33.9
21.967,4.971,1.771,-33.7
22.067,4.996,1.754,-33.6
22.167,5.021,1.738,-33.4
22.267,5.046,1.722,-33.2
22.367,5.071,1.706,-33.0
22.467,5.097,1.690,-32.8
22.567,5.122,1.674,-32.6
22.667,5.147,1.659,-32.4
22.767,5.173,1.643,-32.2
22.867,5.199,1.627,-32.0
22.967,5.225,1.611,-31.9
23.067,5.253,1.595,-31.2
23.167,5.285,1.579,-30.1
23.267,5.316,1.563,-28.9
23.367,5.348,1.548,-27.8
23.467,5.381,1.534,-26.8
23.567,5.414,1.519,-25.8
23.667,5.448,1.505,-24.9
23.767,5.483,1.490,-24.2
23.867,5.518,1.476,-23.6
23.967,5.553,1.462,-23.1
24.067,5.587,1.448,-22.8
24.167,5.620,1.435,-22.5
24.267,5.652,1.422,-22.2
24.367,5.684,1.409,-22.1
24.467,5.716,1.397,-22.0
24.567,5.747,1.384,-22.0
24.667,5.778,1.372,-22.0
24.767,5.808,1.360,-22.0
24.867,5.839,1.347,-22.0
24.967,5.869,1.335,-22.1
25.067,5.899,1.323,-22.2
25.167,5.929,1.310,-22.2
25.267,5.958,1.298,-22.3
25.367,5.988,1.285,-22.4
25.467,6.018,1.273,-22.5
25.567,6.048,1.260,-22.6
25.667,6.078,1.248,-22.6
25.767,6.107,1.235,-22.7
25.867,6.137,1.223,-22.8
25.967,6.166,1.210,-22.9
26.067,6.195,1.197,-23.0
26.167,6.225,1.185,-23.1
26.267,6.254,1.172,-23.3
26.367,6.282,1.160,-23.4
26.467,6.311,1.147,-23.5
26.567,6.339,1.134,-23.7
26.667,6.368,1.121,-23.9
26.767,6.396,1.108,-24.1
26.867,6.423,1.096,-24.3
26.967,6.451,1.083,-24.5
27.067,6.479,1.070,-24.7
27.167,6.506,1.056,-24.9
27.267,6.533,1.043,-25.1
27.367,6.560,1.030,-25.4
27.467,6.587,1.017,-25.7
27.567,6.614,1.003,-25.9
27.667,6.641,0.990,-26.1
27.767,6.668,0.976,-26.3
27.867,6.694,0.963,-26.5
27.967,6.721,0.949,-26.7
28.067,6.747,0.935,-26.9
28.167,6.773,0.921,-27.2
28.267,6.798,0.908,-27.5
28.367,6.824,0.894,-27.8
28.467,6.848,0.880,-28.2
28.567,6.873,0.866,-28.5
28.667,6.896,0.852,-29.0
28.767,6.919,0.839,-29.4
28.867,6.942,0.825,-29.9
28.967,6.964,0.811,-30.4
